index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	आरालिकाः	1	आरालिकाः	आरालिक{पुं;1;बहु}/आरालिक{पुं;8;बहु}	आरालिक{पुं;1;बहु}	कर्ता,5	आरालिक					
2	सूपकाराः	2	सूपकारा	सूपकार{पुं;1;बहु}/सूप-कार{पुं;1;बहु}/सूप-कार{पुं;8;बहु}	सूप-कार{पुं;1;बहु}	समुच्चितः,1	रस					
3	रागखाण्डविकाः	3	रागखाण्डविकास्तथा	राग-खाण्डविका{स्त्री;1;बहु}/खाण्डविका{स्त्री;2;बहु}	राग-खाण्डविका{स्त्री;1;बहु}	समुच्चितः,1	राग-खाण्डविकाओं_ने					
4	तथा			तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,1	वैसे					
5	उपातिष्ठन्त(उपातिष्ठन्)	4	उपातिष्ठन्	उप_ष्था1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	उप_ष्था1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	अभिहित_कर्ता,3	उप_ष्था1_प्प्_स्क्या					
6	राजानं	5	राजानं	राजन्{पुं;2;एक}	राजन्{पुं;2;एक}	विशेषणम्,7	राजा					
7	धृतराष्ट्रं	6	धृतराष्ट्रं	धृतराष्ट्र{पुं;2;एक}	धृतराष्ट्र{पुं;2;एक}	कर्म,5	धृतराष्ट्र					
8	यथा	7	यथा	यथा{अव्य}	यथा{अव्य}	उपमान_द्योतकः,12	जैसे					
9	पुरा	8	पुरा	पुरा{अव्य}	पुरा{अव्य}	कालाधिकरणम्,12	पहले					
12	(उपातिष्ठन्त(उपातिष्ठन्))			उप_ष्था1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	उप_ष्था1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	उपमानम्,5	उप_ष्था1_प्प्_स्क्या					
