index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	पुत्राणाम्	3	पुत्राणाम्	सु-पुत्र{पुं;6;बहु}/पुत्र{नपुं;6;बहु}/पुत्रा{स्त्री;6;बहु}	पुत्र{पुं;6;बहु}	षष्ठीसम्बन्धः,2.2	षष्ठीसम्बन्धः,2.2	N6					
2.1	श्राद्ध-	4	श्राद्धकर्मणि	श्राद्ध	श्राद्ध	T6,2.2	समासः,2.2	CP					
2.2	कर्मणि			कर्मन्{नपुं;7;एक}	कर्मन्{नपुं;7;एक}	समुच्चितः,5	समुच्चितः,5	N7					
3	परिदृष्टेषु	1	परिदृष्टेषु	परि-दृष्ट{नपुं;7;बहु}/परि-दृष्ट{पुं;7;बहु(दृश्1;क्त;दृशिँर्;:भ्वादिः)}/परि-दृष्ट{नपुं;7;बहु(दृश्1;क्त;दृशिँर्;:भ्वादिः)}	परि-दृष्ट{नपुं;7;बहु}	विशेषणम्,5	विशेषणम्,5	N7					
4	च	2	चाहःसु	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,2.2	समुच्चय_द्योतकः,2.2	NA					
5	अहःसु			अहन्{पुं;7;बहु}	अहन्{पुं;7;बहु}	कालाधिकरणम्,11	कालाधिकरणम्,11	N7					
6	यावत्	8	यावदस्य	यावत्{नपुं;1;एक}	यावत्{नपुं;1;एक}	विशेषणम्,8	विशेषणम्,8	N1					
7	अस्य			इदम्{सर्वनाम;पुं;6;एक}/इदम्{सर्वनाम;नपुं;6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;:दिवादिः}	इदम्{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,8	षष्ठीसम्बन्धः,8	N6					
8	चिकीर्षितम्	9	चिकीर्षितम्	चिकीर्षित{नपुं;1;एक}/चिकीर्षित{नपुं;2;एक}	चिकीर्षित{नपुं;1;एक}	कर्म,11	कर्म,11	N1					
9	राजा	6	राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,11	कर्ता,11	N1					
10	सर्वेषाम्(कृते)	7	सर्वेषाम्	सर्व{सर्वनाम;पुं;1;एक}	सर्व{सर्वनाम;पुं;1;एक}	सम्प्रदानम्,11	सम्प्रदानम्,11	N1					
11	ददातु	5	ददातु	दा3{कर्तरि;लोट्;प्र;एक;परस्मैपदी;डुदाञ्;:जुहोत्यादिः}	दा3{कर्तरि;लोट्;प्र;एक;परस्मैपदी;डुदाञ्;:जुहोत्यादिः}	अभिहित_कर्ता,9;सकर्मक	अभिहित_कर्ता,9;सकर्मक	KP					
12	.	.	-	-	-	-	-	FS					
