index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	sarvanAma	Name-classification
1.1	जीवत्-	3	जीवत्पुत्रस्य	जीवत्	जीवत्	Bs6,1.2	समासः,1.2	CP	पुत्र_का			
1.2	पुत्रस्य			पुत्र{पुं;6;एक}	पुत्र{पुं;6;एक}	विशेषणम्,2.2	विशेषणम्,2.2	N6				
2.1	कुरु-	2	कुरुमुख्यस्य	कुरु 	कुरु 	T6,2.2	समासः,2.2	CP	कुरु-मुख्य_के			
2.2	मुख्यस्य			मुख्य{नपुं;6;एक}/मुख्य{पुं;6;एक}	मुख्य{पुं;6;एक}	षष्ठीसम्बन्धः,5	षष्ठीसम्बन्धः,5	N6				
3	यावत्	1	यावद्धि	यावत्{अव्य}	यावत्{अव्य}	विशेषणम्,5;नित्य_सम्बन्धः,8	नित्य_सम्बन्धः,8	NA	जब_तक			
4	हि			हि{अव्य}	हि{अव्य}	सम्बन्धः,11	सम्बन्धः,11	NA	हि			
5	सुखम्	5	सुखम्	सुखम्{अव्य}/सुख{पुं;2;एक}/सुख{नपुं;1;एक}/सुख{नपुं;2;एक}	सुख{पुं;2;एक}	कर्म,7	कर्म,7	N2				
6	वै	4	वै	वै{अव्य}	वै{अव्य}	सम्बन्धः,7	सम्बन्धः,7	NA	सुखना			
7	बभूव	6	बभूव	भू1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भू;:भ्वादिः}/भू1{कर्तरि;लिट्;म;बहु;परस्मैपदी;भू;:भ्वादिः}/भू1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}	भू1कर्तरि;लिट्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}	प्रतियोगी,3	प्रतियोगी,3	KP	हुआ			
8	तत्	7	तदवाप्नोतु	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;2;एक}	विशेषणम्,9	विशेषणम्,9	N2			नित्य_सम्बन्धः,3	
9	भोगान्	8	भोगांश्चेति	भोग{पुं;2;बहु}	भोग{पुं;2;बहु}	कर्म,11	कर्म,11	N2	भोगों_को			
10	च			च{अव्य}	च{अव्य}	सम्बन्धः,9	सम्बन्धः,9	NA	और			
10.1	(सः)					कर्ता,11	कर्ता,11	N1				
11	अवाप्नोतु			अव_आप्1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;आपॢँ;:स्वादिः}	अव_आप्1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;आपॢँ;:स्वादिः}	अभिहित_कर्ता,10.1; वाक्यकर्म,13	अभिहित_कर्ता,10.1; वाक्यकर्म,13	KP	पाये			
12	इति			इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,13;सम्बन्धः,11	वाक्यकर्म_द्योतकः,13;सम्बन्धः,11	NA	ऐसा			
12.1	(ते)					कर्ता,13.1	कर्ता,13	N1				
13	व्यवस्थिताः	9	व्यवस्थिताः	व्यवस्थित{पुं;1;बहु}/व्यवस्थिता{स्त्री;1;बहु}/व्यवस्थिता{स्त्री;2;बहु}/व्यवस्थित{पुं;8;बहु}	व्यवस्थित{पुं;1;बहु}	विधेयविशेषणम्,13.1	विधेयविशेषणम्,13.1	N1	व्यवस्थित			
13.1	आसन्					अभिहितकर्ता,12.1	अभिहितकर्ता,12.1	KP				
14	.	.	-	-	-	-	-	FS				
