index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possibel_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	गान्धारी	1	गान्धारी	गान्धारी{स्त्री;1;एक}/गान्धारि{पुं;1;द्वि}/गान्धारि{पुं;2;द्वि}/गान्धारि{पुं;8;द्वि}	गान्धारी{स्त्री;1;एक}	कर्ता,11	कर्ता,11	N1	गान्धारी					
2	पुत्राणां	3	पुत्राणां	पुत्र{पुं;6;बहु}	पुत्र{पुं;6;बहु}	षष्ठीसम्बन्धः,4	षष्ठीसम्बन्धः,4	N6	पुत्रों_का					
3	विविधैः	4	विविधैः	विविध{पुं;3;बहु}/विविध{नपुं;3;बहु}	विविध{पुं;3;बहु}	विशेषणम्,4	विशेषणम्,4	N3	विविध_से					
4	श्राद्धकर्मभिः	5	श्राद्धकर्मभिः	श्राद्धकर्मन्{नपुं;3;बहु}	श्राद्धकर्मन्{नपुं;3;बहु}	हेतुः,10	हेतुः,10	N3	कर्मों_से					
5	च	2	चैव	च{अव्य}	च{अव्य}	सम्बन्धः,4	सम्बन्धः,4	NA	और					
6	एव			एव{अव्य}	एव{अव्य}	सम्बन्धः,4	सम्बन्धः,4	NA	ही					
7	विप्रेभ्यः			विप्र{पुं;4;बहु}/विप्र{पुं;5;बहु}	विप्र{पुं;4;बहु}	सम्प्रदानम्,9	सम्प्रदानम्,9	N4	ब्राह्मणों_को					
8	कामान्			काम{पुं;2;बहु}	काम{पुं;2;बहु}	कर्म,9	कर्म,9	N2	काम_को					
9	प्रतिपाद्य	7	प्रतिपाद्य	पत्1{अव्य;ल्यप्;पतॢँ;:भ्वादिः}	प्रति_पत्1{अव्य;ल्यप्;पतॢँ;:भ्वादिः}	पूर्वकालः,11	पूर्वकालः,11	KP						
10	आनृण्यम्	6	आनृण्यमगमत्कामान्विप्रेभ्यः	आनृण्य{नपुं;1;एक}/आनृण्य{नपुं;2;एक}	आनृण्य{नपुं;2;एक}	कर्म,11	कर्म,11	N2	दायित्व					
11	अगमत्			गम्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;गमॢँ;:भ्वादिः}	गम्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;गमॢँ;:भ्वादिः}	अभिहित_कर्ता,1;सकर्मक	अभिहित_कर्ता,1;सकर्मक	KP	गया					
12	वै	8	वै	वै{अव्य}	वै{अव्य}	सम्बन्धः,11	सम्बन्धः,11	NA	सुखना					
13	.	.	-	-	-	-	-	FS	-					
