index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning
1	यद्			यद्{सर्वनाम,नपुं,2,एक}	यद्{सर्वनाम,नपुं,2,एक}	विशेषणम्,13	विशेषणम्,13	N2		
2	यद्			यद्{सर्वनाम,नपुं,2,एक}	यद्{सर्वनाम,नपुं,2,एक}	वीप्सा,1	वीप्सा,1	N2		
3	ब्रूते	1	यद्यद्ब्रूते	ब्रू1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;ब्रूञ्;:अदादिः}	ब्रू1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;ब्रूञ्;:अदादिः}	अभिहित_कर्ता,14;सकर्मक	अभिहित_कर्ता,14;सकर्मक	KP	कहता_है	
4	च	2	च	च{अव्य}	च{अव्य}	सम्बन्धः,5	सम्बन्धः,5	NA	और	
5	किञ्चित्	3	किञ्चित्स	किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक}	किञ्चित्{अव्य}	विशेषणम्,13	विशेषणम्,13	NA		
6	सः			तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,7	विशेषणम्,7	N1	वह	
7	धृतराष्ट्रः	4	धृतराष्ट्रो	धृतराष्ट्र{पुं;1;एक}	धृतराष्ट्र{पुं;1;एक}	समुच्चितः,14	समुच्चितः,14	N1	धृतराष्ट्र	
8	नराधिपः	5	नराधिपः	नराधिप{पुं;1;एक}	नराधिप{पुं;1;एक}	विशेषणम्,7	विशेषणम्,7	N1	राजा	
9	गुरुः	6	गुरु	गुरु{नपुं;1;एक}/गुरु{नपुं;2;एक}	गुरु{नपुं;2;एक}	अन्यतरः,11	अन्यतरः,11	N2	गुरु	
10	वा	7	वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,9	अन्यतर_द्योतकः,9	NA	वा	
11	लघुः	8	लघु	लघु{नपुं;1;एक}/लघु{नपुं;2;एक}/लघु{नपुं;8;एक}	लघु{नपुं;2;एक}	विशेषणम्,13	विशेषणम्,13	N2	लघु	
12	वा	9	वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,9	अन्यतर_द्योतकः,9	NA	वा	
