index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possibe_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	पुरा			पुरा{अव्य}	पुरा{अव्य}	कालाधिकरणम्,7	कालाधिकरणम्,7	NA	पहले					
2	धृतराष्ट्रसुतैः	4	धृतराष्ट्रसुतैः	धृतराष्ट्रसुत{पुं;3;बहु(धृतराष्ट्र-षु3;क्त;षुञ्;:स्वादिः)}/धृतराष्ट्रसुत{नपुं;3;बहु(षु3;क्त;षुञ्;:स्वादिः)}/धृतराष्ट्रसुत{पुं;3;बहु(शु1;क्त;शु;:भ्वादिः)}/धृतराष्ट्रसुत{नपुं;3;बहु(शु1;क्त;शु;:भ्वादिः)}/धृतराष्ट्रसुत{पुं;3;बहु(षु2;क्त;षु;:अदादिः)}/धृतराष्ट्रसुत{नपुं;3;बहु(षु2;क्त;षु;:अदादिः)}/सुत{पुं;3;बहु}	धृतराष्ट्र-सुत{पुं;3;बहु(धृतराष्ट्र-षु3;क्त;षुञ्;:स्वादिः)}	कर्ता,7	कर्ता,7	N3						
3	यत्	1	यच्च	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यत्{सर्वनाम;नपुं;1;एक}	विशेषणम्,6	विशेषणम्,6	N1					नित्य_सम्बन्धः,8	
4	च			च{अव्य}	च{अव्य}	सम्बन्धः,3	सम्बन्धः,3	NA	और					
5	किञ्चित्	2	किञ्चित्पुरा	किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक}	किञ्चित्{अव्य}	विशेषणम्,6	विशेषणम्,6	NA						
6	पापम्	3	पापम्	पाप{नपुं;1;एक}/पाप{नपुं;2;एक}	पाप{नपुं;1;एक}	कर्म,7	कर्म,7	N1	पाप					
7	कृतम्	5	कृतम्	कृत्{पुं;2;एक}/कृत{नपुं;1;एक}/कृत{नपुं;2;एक}/कृत{पुं;2;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{नपुं;1;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{नपुं;2;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{पुं;2;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{नपुं;1;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{नपुं;2;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{पुं;2;एक(कृ1;क्त;कृञ्;:भ्वादिः)}/कृत{नपुं;1;एक(कृ1;क्त;कृञ्;:भ्वादिः)}/कृत{नपुं;2;एक(कृ1;क्त;कृञ्;:भ्वादिः)}	कृत{पुं;1;एक(कृ3;क्त;डुकृञ्;:तनादिः)}	कर्ता,16	कर्ता,16	N1	कृत्_को					
8	तत्	8	तद्राजा	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तत्{सर्वनाम;नपुं;2;एक}	कर्म,12	कर्म,12	N2					नित्य_सम्बन्धः,3	
9	सः	11	सोऽन्ववर्तत	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,10	विशेषणम्,10	N1	वह					
10	राजा			राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,15	कर्ता,15	N1	राजा					
11	हृदि	7	हृदि	हृद्{नपुं;7;एक}/हृदय{नपुं;7;एक}	हृद्{नपुं;7;एक}	अधिकरणम्,12	अधिकरणम्,12	N7	हृदय_में					
12	अकृत्वा	6	अकृत्वा	अकृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}/कृ3{अव्य;क्त्वा;डुकृञ्;:तनादिः}/कृ1{अव्य;क्त्वा;कृञ्;:भ्वादिः}	अकृ2{अव्य;क्त्वा;कृञ्;:स्वादिः}	पूर्वकालः,15	पूर्वकालः,15	NA						
13	तम्	9	तम्	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	विशेषणम्,14	विशेषणम्,14	N2	उसको					
14	नृपम्	10	नृपम्	नृप{पुं;2;एक}	नृप{पुं;2;एक}	कर्म,15	कर्म,15	N2	राजा_को					
15	अन्ववर्तत			अनु_वृत्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;वृतुँ;:भ्वादिः}	अनु_वृत्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;वृतुँ;:भ्वादिः}	अभिहित_कर्ता,10;सकर्मक	अभिहित_कर्ता,10;सकर्मक	KP	आरम्भ_किया					
16	(आसीत्)				अस्{कर्तरि,लुङ्,प्र,एक,परस्मैपदी{धातुः असँ} भ्वादिः}	अभिहित_कर्ता,6	अभिहित_कर्ता,6	KP						
17	.	.	-	-	-	-	-	FS	-					
