index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relation	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	सर्वराज्ञाम्	4	सर्वराज्ञाम्	सर्व-राजन्{पुं;6;बहु}	सर्व-राजन्{पुं;6;बहु}	षष्ठीसम्बन्धः,2	षष्ठीसम्बन्धः,2	N6	सब-राजाओं_के					
2	विनाशम्	1	विनाशम्	विनाश{पुं;2;एक}	विनाश{पुं;2;एक}	कर्म,3	कर्म,3	N2	विनाश_की					
3	पश्यमानः	2	पश्यमानो	वन्दमान{पुं;1;एक(वद्2;शानच्_लट्;कर्तरि;वदिँ;:भ्वादिः)}	पश्यमान{पुं;1;एक(पश्यत्{पुं;7;एक{कृदन्त}({कृत्_धातु दृश्1}शतृ_लट्{धातुःदृशिँर्} भ्वादिः))}	वर्तमानसमानकालः,11	वर्तमानसमानकालः,11	KP						
4	हि	3	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,3	सम्बन्धः,3	NA	हि					
5	गदाग्रजः	5	गदाग्रजः	गदा-अग्रज{पुं;1;एक}/अग्र-ज{पुं;1;एक}	गदा-अग्रज{पुं;1;एक}	विशेषणम्,7	विशेषणम्,7	N1	बोलना-बडा_भाई					
6	सः	7	स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,7	विशेषणम्,7	N1	उस					
7	जनार्दनः	9	जनार्दनः	जनार्दन{पुं;1;एक}	जनार्दन{पुं;1;एक}	कर्ता,11	कर्ता,11	N1	जनार्दन_ने					
8	एतत्	6	एतच्छ्रेयः	एतद्{सर्वनाम;नपुं;1;एक}/एतद्{सर्वनाम;नपुं;2;एक}	एतद्{सर्वनाम;नपुं;2;एक}	विशेषणम्,10	विशेषणम्,10	N2	इस					
9	परमम्	8	परमममन्यत	परमम्{अव्य}/परम{पुं;2;एक}/परम{नपुं;1;एक}/परम{नपुं;2;एक}	परम{नपुं;2;एक}	विशेषणम्,10	विशेषणम्,10	N2	परम_को					
10	श्रेयः			श्रेयस्{नपुं;1;एक}/श्रेयस्{नपुं;2;एक}/श्रेयस्{नपुं;8;एक}/श्रेय{पुं;1;एक}	श्रेयस्{नपुं;2;एक}	कर्म,11	कर्म,11	N2	श्रेय_को					
11	अमन्यत			मन्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;मनँ;:दिवादिः}/मन्1{कर्मणि;लङ्;प्र;एक;आत्मनेपदी;मनँ;:दिवादिः}/मन्2{कर्मणि;लङ्;प्र;एक;आत्मनेपदी;मनुँ;:तनादिः}	मन्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;मनँ;:दिवादिः}	अभिहित_कर्ता,7;सकर्मक	अभिहित_कर्ता,7;सकर्मक	KP	जाना					
12	.	.	-	-	-	-	-	FS	-					
