index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code		hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	द्रौपद्याः	1	द्रौपद्या	द्रौपदी{स्त्री;5;एक}/द्रौपदी{स्त्री;6;एक}	द्रौपदी{स्त्री;6;एक}	कर्म,9	कर्म,9	N6		द्रौपदी_से					
2	हि	2	ह्यपकर्तारस्तव	हि{अव्य}	हि{अव्य}	सम्बन्धः,1	सम्बन्धः,1	NA		हि					
3	तव			युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,5	षष्ठीसम्बन्धः,5	N6		तुम्हारा					
4	च	3	चैश्वर्यहारिणः	च{अव्य}	च{अव्य}	सम्बन्धः,3	सम्बन्धः,3	NA		और					
5	ऐश्वर्यहारिणः			ऐश्वर्य-हारिन्{पुं;1;बहु}/हारिन्{पुं;2;बहु}/हारिन्{पुं;5;एक}/हारिन्{पुं;6;एक}/हारिन्{नपुं;5;एक}/हारिन्{नपुं;6;एक}/हारिन्{पुं;8;बहु}/हारि{नपुं;5;एक}/हारि{नपुं;6;एक}	ऐश्वर्य-हारिन्{पुं;1;बहु}	विशेषणम्,7	विशेषणम्,7	N1		ऐश्वर्य-हारिन्					
6	समतीताः	4	समतीता	सम-अतीत{पुं;1;बहु(सम-इ1;क्त;इण्;:अदादिः)}/सम-अतीता{स्त्री;1;बहु(इ1;क्त;इण्;:अदादिः)}/सम-अतीता{स्त्री;2;बहु(इ1;क्त;इण्;:अदादिः)}	सम-अतीत{पुं;1;बहु(सम-इ1;क्त;इण्;:अदादिः)}	विधेयविशेषणम्,6.1	विधेयविशेषणम्,6.1	N1							
6.1	(सन्ति)							KP							
7	नृशंसाः	5	नृशंसास्ते	नृशंस{पुं;1;बहु}/नृशंसा{स्त्री;1;बहु}/नृशंसा{स्त्री;2;बहु}/नृशंस{पुं;8;बहु}	नृशंस{पुं;1;बहु}	कर्म,12	कर्म,12	N1		क्रूर					
8	ते			तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,7	विशेषणम्,7	N1		वे					
9	अपकर्तारः			अप-कृ3{कर्तरि;लुट्;प्र;बहु;परस्मैपदी;डुकृञ्;:तनादिः}/कृ3{कर्तरि;लुट्;प्र;बहु;आत्मनेपदी;डुकृञ्;:तनादिः}/कर्तृ{पुं;8;बहु}/कर्तृ{पुं;1;बहु}	अप-कृ3{कर्तृ;पुं;1;बहु}	विशेषणम्,7	विशेषणम्,7	KP		करेंगे					
10	युधि	8	युधि	युध्{स्त्री;7;एक}	युध्{स्त्री;7;एक}	अधिकरणम्,12	अधिकरणम्,12	N7		संग्राम_में					
11	धर्मेण	6	धर्मेण	धर्म{पुं;3;एक}	धर्म{पुं;3;एक}	हेतुः,12	हेतुः,12	N3		धर्म_से					
12	निहताः	7	निहता	निहन्{तल्;स्त्री;1;बहु}/निहन्{तल्;स्त्री;2;बहु}/निहत{पुं;1;बहु(हन्1;क्त;हनँ;:अदादिः)}/निहता{स्त्री;1;बहु(हन्1;क्त;हनँ;:अदादिः)}/निहता{स्त्री;2;बहु(हन्1;क्त;हनँ;:अदादिः)}	निहत{पुं;1;बहु(हन्1;क्त;हनँ;:अदादिः)}	विशेषणम्,6	विशेषणम्,6	N1							
13	.	.	-	-	-	-	-	FS		-					
