index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
													
1.1	कुरु-	5	कुरु-नन्दन	कुरु	कुरु	समासः,1.2	समासः,1.2	कुरु-नन्दन					
1.2	नन्दन			नन्दन{पुं;8;एक}	नन्दन{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1						
2.1	तेषु	2	तेषु	तद्{सर्वनाम;पुं;7;बहु}/तद्{सर्वनाम;नपुं;7;बहु}	तद्{सर्वनाम;पुं;7;बहु}	विषयाधिकरणम्,5.1;सम्बन्धः,11.1	विषयाधिकरणम्,5.1;सम्बन्धः,11.1	उनमें					
3.1	प्रतिकर्तव्यम्	3	प्रतिकर्तव्यम्	प्रति-कर्तव्य{पुं;2;एक(प्रति-कृ3;तव्यत्;डुकृञ्;:तनादिः)}/प्रति-कर्तव्य{नपुं;1;एक(कृ3;तव्यत्;डुकृञ्;:तनादिः)}/प्रति-कर्तव्य{नपुं;2;एक(कृ3;तव्यत्;डुकृञ्;:तनादिः)}/प्रति-कर्तव्य{पुं;2;एक(कृ2;तव्यत्;कृञ्;:स्वादिः)}/प्रति-कर्तव्य{नपुं;1;एक(कृ2;तव्यत्;कृञ्;:स्वादिः)}/प्रति-कर्तव्य{नपुं;2;एक(कृ2;तव्यत्;कृञ्;:स्वादिः)}/प्रति-कर्तव्य{पुं;2;एक(कृ1;तव्यत्;कृञ्;:भ्वादिः)}/प्रति-कर्तव्य{नपुं;1;एक(कृ1;तव्यत्;कृञ्;:भ्वादिः)}/प्रति-कर्तव्य{नपुं;2;एक(कृ1;तव्यत्;कृञ्;:भ्वादिः)}	प्रति-कर्तव्य{पुं;2;एक(प्रति-कृ3;तव्यत्;डुकृञ्;:तनादिः)}	कर्म,5.1	कर्म,5.1						
4.1	न	1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,5.1	प्रतिषेधः,5.1	नहीं					
5.1	पश्यामि	4	पश्यामि	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;दृशिँर्;:भ्वादिः}	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;दृशिँर्;:भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मक	अभिहित_कर्ता,7.1;सकर्मक	देखता_हूँ					
6.1	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,8.1	विशेषणम्,8.1	वे					
7.1	अभिमुखम्		अभिमुखम्	अभिमुख{पुं;2;एक}/अभिमुख{नपुं;1;एक}/अभिमुख{नपुं;2;एक}	अभिमुख{पुं;2;एक}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	अभिमुख_को					
8.1	सर्वे	6	सर्वे	सर्व{सर्वनाम;पुं;1;बहु}/सर्व{सर्वनाम;नपुं;1;द्वि}/सर्व{सर्वनाम;नपुं;2;द्वि}/सर्वा{सर्वनाम;स्त्री;1;द्वि}/सर्वा{सर्वनाम;स्त्री;2;द्वि}	सर्व{सर्वनाम;पुं;1;बहु}	कर्ता,11.1	कर्ता,11.1	सब					
9.1	शस्त्रजितान्	7	शस्त्रजितान्	शस्त्र-जित{पुं;2;बहु(शस्त्र-जि1;क्त;जि;:भ्वादिः)}	शस्त्र-जित{पुं;2;बहु(शस्त्र-जि1;क्त;जि;:भ्वादिः)}	विशेषणम्,10.1	विशेषणम्,10.1	शस्त्र-जीते_हुए					
10.1	लोकान्		लोकान्	लोक{पुं;2;बहु}	लोक{पुं;2;बहु}	कर्म,11.1	कर्म,11.1	लोक_को					
11.1	गताः		गताः	गत{पुं;1;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}/गता{स्त्री;1;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}/गता{स्त्री;2;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}	गत{पुं;1;बहु(गम्1;क्त;गमॢँ;:भ्वादिः)}	अभिहित_कर्ता,7.1;सकर्मक	अभिहित_कर्ता,7.1;सकर्मक						
12.1	हताः	8	हताः	हन्{तल्;स्त्री;1;बहु}/हन्{तल्;स्त्री;2;बहु}/हत{पुं;1;बहु(हन्1;क्त;हनँ;:अदादिः)}/हता{स्त्री;1;बहु(हन्1;क्त;हनँ;:अदादिः)}/हता{स्त्री;2;बहु(हन्1;क्त;हनँ;:अदादिः)}	हन्{तल्;स्त्री;1;बहु}	विशेषणम्,8.1	विशेषणम्,8.1						
13.1	.	.	-	-	-	-	-						
