index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	ततः		ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1#सम्बन्धः,2.1#कार्य_द्योतकः,11.1#कार्य_द्योतकः,2.1	NA	वहाँ_से	वहाँ_से
2.1	अस्य		अस्य	इदम्{सर्वनाम;पुं;6;एक}/इदम्{सर्वनाम;नपुं;6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;दिवादिः}	इदम्{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1	N6	इसके	इसके
3.1	पाणिना		पाणिना	पाणि{पुं;3;एक}	पाणि{पुं;3;एक}	हेतुः,11.1	हेतुः,11.1#हेतुः,2.1	N3	हाथ_से	हाथ_से
4.1	राजा		राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N1	राजा	राजा
5.1	जलशीतेन		जलशीतेन	-	-	कारणम्,11.1	कारणम्,11.1	N3		
6.1	पाण्डवः		पाण्डवः	पाण्डु{पुं;1;बहु}/पाण्डु{स्त्री;1;बहु}/पाण्डव{पुं;1;एक}/पाण्डु{पुं;8;बहु}/पाण्डु{स्त्री;8;बहु}	पाण्डु{पुं;1;बहु}	कर्ता,11.1	कर्ता,11.1	N1	पाण्डु	पाण्डु
7.1	उरः		उरः	उरस्{नपुं;1;एक}/उरस्{नपुं;2;एक}/उरस्{नपुं;8;एक}	उरस्{नपुं;2;एक}	समुच्चितः,8.1	समुच्चितः,8.1	N2	सीना	सीना
8.1	मुखं		मुखं	मुख{पुं;2;एक}/मुख{नपुं;1;एक}/मुख{नपुं;2;एक}	मुख{नपुं;2;एक}	कर्म,11.1	कर्म,2.1#कर्म,11.1	N2	मुख	मुख
9.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,8.1	समुच्चय_द्योतकः,8.1	NA	च2	च2
10.1	शनकैः		शनकैः	शनकैः{अव्य}	शनकैः{अव्य}	क्रियाविशेषणम्,11.1	क्रियाविशेषणम्,11.1	NA	शनैः_शनैः	शनैः_शनैः
11.1	पर्यमार्जत		पर्यमार्जत	परि_मृज्2{कर्तरि;लङ्;म;बहु;परस्मैपदी;चुरादिः}	परि_मृज्2{कर्तरि;लङ्;म;बहु;परस्मैपदी;चुरादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	धोए	धोए
12.1	धर्मवित्		धर्मवित्	धर्मविद्{नपुं;1;एक}	धर्मविद्{नपुं;1;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N1	धर्मविद्	धर्मविद्
13.1	.		.	-	-	-	-	FS	-	-
