index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_Relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	न	1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,2.1	प्रतिषेधः,2.1	NA	नहीं					
2.1	कामये	2	कामये	कम्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;कमुँ;:भ्वादिः}/कम्1{कर्तरि;विधिलिङ्;उ;एक;आत्मनेपदी;कमुँ;:भ्वादिः}/कम्1{णिजन्त;कर्तरि;लट्;उ;एक;आत्मनेपदी;कमुँ;:भ्वादिः}	कम्1{कर्तरि;विधिलिङ्;उ;एक;आत्मनेपदी;कमुँ;:भ्वादिः}	अभिहित_कर्ता,12.3;सकर्मक	अभिहित_कर्ता,12.3;सकर्मक	KP	चाहूँ					
3.1	नर-	3	नर-श्रेष्ठ	नर	नर	समासः,3.2	समासः,3.2	CP	नर-श्रेष्ठ					
3.2	श्रेष्ठ			श्रेष्ठ{पुं;8;एक}/श्रेष्ठ{नपुं;8;एक}	श्रेष्ठ{पुं;8;एक}	सम्बोध्यः,2.1	सम्बोध्यः,2.1	N8						
4.1	जीवितम्	4	जीवितम्	जीवित{पुं;2;एक(जीव्1;क्त;जीवँ;:भ्वादिः)}/जीवित{नपुं;1;एक(जीव्1;क्त;जीवँ;:भ्वादिः)}/जीवित{नपुं;2;एक(जीव्1;क्त;जीवँ;:भ्वादिः)}	जीवित{नपुं;2;एक(जीव्1;क्त;जीवँ;:भ्वादिः)}	कर्म,2.1	कर्म,2.1	N2	जीवित					
5.1	पृथिवीम्	5	पृथिवीम्	पृथिवी{स्त्री;2;एक}	पृथिवी{स्त्री;2;एक}	समुच्चितः,4.1	समुच्चितः,4.1	N2	पृथ्वी					
6.1	तथा	6	तथा	तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	वैसे					
7.1	यथा	7	यथा	यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,12.5	क्रियाविशेषणम्,12.5	NA	जैसे				नित्य_सम्बन्धः,12	
8.1	तव	8	तव	युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	तुम्हारे					
9.1	प्रियम्	9	प्रियम्	प्रिय{पुं;2;एक}/प्रिय{नपुं;1;एक}/प्रिय{नपुं;2;एक}	प्रिय{नपुं;1;एक}	कर्ता,12.5	कर्ता,12.5	N1	प्रिय_की					
10.1	राजन्	10	राजन्	राजन्{पुं;8;एक}/राजत्{पुं;1;एक(राज्1;शतृ_लट्;राजृँ;:भ्वादिः)}	राजन्{पुं;8;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N8	राजा					
11.1	चिकीर्षामि		चिकीर्षामि	इष्2{कर्तरि;लट्;उ;एक;परस्मैपदी;इषुँ;:तुदादिः}	इष्2{कर्तरि;सन्नन्त;लट्;उ;एक;परस्मैपदी; कॄ;तनादिः}	अभिहित_कर्ता,0;सकर्मक	अभिहित_कर्ता,0;सकर्मक	KP	इच्छा_करता_हूँ					
12.1	परन्तप	11	परन्तप	परन्तप{पुं;8;एक}/परन्तप{नपुं;8;एक}	परन्तप{पुं;8;एक}	सम्बोध्यः,11.1	सम्बोध्यः,11.1	N8	परन्तप					
12.2	(तथा)			तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,11.1	क्रियाविशेषणम्,11.1	NA	वैसे				नित्य_सम्बन्धः,9	
12.3	(अहम्)				अस्मद्{सर्वनाम;1;एक}	कर्ता,11.1	कर्ता,11.1	N1						
12.4	(अहम्)				अस्मद्{सर्वनाम;1;एक}	कर्ता,2.1	कर्ता,2.1	N1						
12.5	(स्यात्)				अस्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी{धातुः असँ} अदादिः}	अभिहित_कर्ता,9.1;सकर्मक	अभिहित_कर्ता,9.1;सकर्मक	KP						
13.1	.	.	-	-	-	-	-	FS	-					
