index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	राजर्षीणां	5	राजर्षीणां	राजर्षि{पुं;6;बहु}	राजर्षि{पुं;6;बहु}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	राजर्षियों_के					
2.1	पुराणानाम्	2	पुराणानाम्	पुराण{नपुं;6;बहु}	पुराण{नपुं;6;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N6	पुराणों_का					
3.1	अनुयातु		अनुयातु	अनु_या1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;या;:अदादिः}	अनु_या1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;या;:अदादिः}	अभिहित_कर्ता,5.1;सकर्मक;सम्बन्धः,7.1	अभिहित_कर्ता,5.1;सकर्मक;सम्बन्धः,7.1	KP	अनु_या1_प्प्_स्क्यें					
4.1	गतिम्	3	गतिम्	गति{स्त्री;2;एक}	गति{स्त्री;2;एक}	कर्म,3.1	कर्म,3.1	N2	गति_को					
5.1	नृपः	4	नृपः	नृप{पुं;1;एक}	नृप{पुं;1;एक}	कर्ता,3.1	कर्ता,3.1	N1	राजा					
6.1	राजर्षीणां	1	राजर्षीणां	राजर्षि{पुं;6;बहु}	राजर्षि{पुं;6;बहु}	षष्ठीसम्बन्धः,11.1	षष्ठीसम्बन्धः,11.1	N6	राजर्षियों_का					
7.1	हि	6	हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	हि					
8.1	सर्वेषां	7	सर्वेषां	सर्व{सर्वनाम;पुं;6;बहु}/सर्व{सर्वनाम;नपुं;6;बहु}	सर्व{सर्वनाम;पुं;6;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N6	सबका					
9.1	अन्ते		अन्ते	अन्त{नपुं;1;द्वि}/अन्त{नपुं;2;द्वि}/अन्ता{स्त्री;1;द्वि}/अन्ता{स्त्री;2;द्वि}/अन्त{नपुं;8;द्वि}/अन्ति{स्त्री;8;एक}/अन्त{पुं;7;एक}/अन्त{नपुं;7;एक}	अन्त{पुं;7;एक}	कालाधिकरणम्,12.1	कालाधिकरणम्,12.1	N7	अन्त					
10.1	वनम्	8	वनम्	वन{नपुं;1;एक}/वन{नपुं;2;एक}	वन{नपुं;2;एक}	कर्ता,12.1	कर्ता,12.1	N2	वन					
11.1	उपाश्रयः		उपाश्रयः	उप_आङ्_श्रि1{कर्तरि;लङ्;म;एक;परस्मैपदी;श्रिञ्;:भ्वादिः}/उपाश्रय{पुं;1;एक(श्रि1;घञ्;श्रिञ्;:भ्वादिः)}	उपाश्रय{पुं;1;एक(श्रि1;घञ्;श्रिञ्;:भ्वादिः)}	विधेयविशेषणम्,10.1	विधेयविशेषणम्,10.1	KP						
12.1	(भवेत्)					अभिहित_कर्ता,10.1;सकर्मक	अभिहित_कर्ता,10.1;सकर्मक	KP						
13.1	.	.	-	-	-	-	-	FS	-					
