index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga
												
1.1	यत्	1	यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यत्{सर्वनाम;नपुं;2;एक}	कर्म,2.1	कर्म,2.1	N2				
2.1	आह		आह	ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;ब्रूञ्;:अदादिः}	ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;ब्रूञ्;:अदादिः}	अभिहित_कर्ता,4.1;सकर्मकः	अभिहित_कर्ता,4.1;सकर्मकः	KP	कहा			
3.1	भगवान्	2	भगवान्	भगवत्{पुं;1;एक}/भग{मतुप्;पुं;1;एक}	भगवत्{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1	भगवान्			
4.1	व्यासः		व्यासः	व्यास{पुं;1;एक}/व्यास{पुं;1;एक(अस्3;घञ्;असुँ;:दिवादिः)}	व्यास{पुं;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	विभाजन			
5.1	यत्	3	यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यत्{सर्वनाम;नपुं;1;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N1				
6.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	और			
7.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	भी			
8.1	भवतः	4	भवतः	भव{अव्य;तसिल्}/भवत्{सर्वनाम;पुं;2;बहु}/भवत्{सर्वनाम;पुं;5;एक}/भवत्{सर्वनाम;पुं;6;एक}/भू1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;भू;:भ्वादिः}/भवत्{पुं;2;बहु}/भवत्{पुं;5;एक}/भवत्{पुं;6;एक}	भवत्{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6				
9.1	मतम्	5	मतम्	मत{पुं;2;एक(मन्1;क्त;मनँ;:दिवादिः)}/मत{पुं;2;एक(मन्2;क्त;मनुँ;:तनादिः)}	मत{नपुं;1;एक{कृदन्त}({कृत्_धातु मन्1} क्त{धातुः मनँ} दिवादिः)}	कर्ता,9.2	कर्ता,9.2	N1				
9.2	(अस्ति)					अभिहित_कर्ता,9.1;अकर्मकः	अभिहित_कर्ता,9.1;अकर्मकः	KP				
10.1	यत्	6	यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यत्{सर्वनाम;नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2				
11.1	आह		आह	ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;ब्रूञ्;:अदादिः}	ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;ब्रूञ्;:अदादिः}	अभिहित_कर्ता,19.1;अकर्मकः	अभिहित_कर्ता,19.1;अकर्मकः	KP	कहा			
12.1	च	7	च	च{अव्य}	च{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	और			
13.1	महेष्वासः		महेष्वासः	महेष्वास{पुं;1;एक}	महेष्वास{पुं;1;एक}	विशेषणम्,14.1	विशेषणम्,14.1	N1				
14.1	कृपः	9	कृपः	कृप{पुं;1;एक}	कृप{पुं;1;एक}	समुच्चितः,19.1	समुच्चितः,19.1	N1	कृपाचार्य			
15.1	विदुरः	10	विदुर	विदुर{पुं;1;एक}	विदुर{पुं;1;एक}	समुच्चितः,19.1	समुच्चितः,19.1	N1	बुद्धिमान			
16.1	एव	11	एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,17.1	सम्बन्धः,17.1	NA	ही			
17.1	च	12	च	च{अव्य}	च{अव्य}	सम्बन्धः,18.1	सम्बन्धः,18.1	NA	और			
18.1	युयुत्सुः	13	युयुत्सुः	युयुत्सु{पुं;1;एक}	युयुत्सु{पुं;1;एक}	विशेषणम्,19.1	विशेषणम्,19.1	N1	लडने_की_इच्छा_वाला			
19.1	सञ्जयः	14	सञ्जयः	सञ्जय{पुं;1;एक}	सञ्जय{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	संजय			
20.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,19.1	सम्बन्धः,19.1	NA	और			
20.2	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,20.1	सम्बन्धः,20.1	NA	ही			
21.1	तत्		तत्	तत्	तत्	कर्म,22.1;नित्यसम्बन्धः,1.1;;नित्यसम्बन्धः,5.1;नित्यसम्बन्धः,10.1	कर्म,22.1	CP				
22.1	कर्ता		कर्ता	कृ3{कर्तरि;लुट्;प्र;एक;परस्मैपदी;डुकृञ्;:तनादिः}/कृ3{कर्तरि;लुट्;प्र;एक;आत्मनेपदी;डुकृञ्;:तनादिः}/कर्तृ{पुं;1;एक}	कर्तृ{पुं;1;एक}	विधेय_विशेषणम्,24.1	विधेय_विशेषणम्,24.1	N1	करेगा			
