index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning		Name-classification
											
1.1	विद्या-	1	विद्या-वृद्धान्	विद्या	विद्या	T3,1.2	T3,1.2	CP	विद्या-		
1.2	वृद्धान्		--	वृद्ध{पुं;2;बहु}	वृद्ध{पुं;2;बहु}	कर्म,5.1	कर्म,5.1	N2	वृद्ध		
2.1	सदा	2	सदा	सदा{अव्य}	सदा{अव्य}	कालाधिकरणम्,5.1	कालाधिकरणम्,5.1	NA	सदैव		
3.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA			
4.1	त्वम्	3	त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,5.1;कर्ता,7.1;कर्ता,12.1	कर्ता,5.1;कर्ता,7.1;कर्ता,12.1	N1	तुम		
5.1	उपासीथाः		उपासीथाः	उप_आस्1{कर्तरि;विधिलिङ्;म;एक;आत्मनेपदी;अदादिः}	उप_आस्1{कर्तरि;विधिलिङ्;म;एक;आत्मनेपदी;अदादिः}	अभिहित_कर्ता,4.1;सकर्मक	अभिहित_कर्ता,4.1;सकर्मक	KP	उपासना_करो		
6.1	युधिष्ठिर		युधिष्ठिर	युधिष्ठिर{पुं;8;एक}	युधिष्ठिर{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,5.1	N8	युधिष्ठिर		
7.1	शृणुयाः	4	शृणुयाः	श्रुणुयाः{श्रु;कर्तरि;विधिलिङ्;म;एक;परस्मैपदी{धातुः श्रु} भ्वादिः}}	श्रुणुयाः{श्रु;कर्तरि;विधिलिङ्;म;एक;परस्मैपदी{धातुः;श्रु}भ्वादिः}}	अभिहित_कर्ता,4.1;सकर्मक	अभिहित_कर्ता,4.1;सकर्मक	KP			
8.1	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	कर्ता,11.1;सम्बन्धः,1.2	कर्ता,11.1;सम्बन्धः,1.2	N1			
9.1	च	5	च	च{अव्य}	च{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA			
10.1	यत्	6	यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यद्{सर्वनाम;नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2			
11.1	ब्रूयुः		ब्रूयुः	ब्रू1{कर्तरि;विधिलिङ्;प्र;बहु;परस्मैपदी;ब्रूञ्;:अदादिः}	ब्रू1{कर्तरि;विधिलिङ्;प्र;बहु;परस्मैपदी;ब्रूञ्;:अदादिः}	अभिहित_कर्ता,8.1;सकर्मक;	अभिहित_कर्ता,8.1;सकर्मक;	KP			
11.2	(तत्)			तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;2;एक}	कर्म,7.1;कर्म,12.1;नित्यसम्बन्धः,10.1	कर्म,7.1;कर्म,12.1;नित्यसम्बन्धः,10.1	N2			
12.1	कुर्याः	7	कुर्याः	कृ3{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;डुकृञ्;:तनादिः}	समुच्चितः,7.1	समुच्चितः,7.1	KP			
13.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,7.1	समुच्चय_द्योतकः,7.1	NA			
14.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,13.1	सम्बन्धः,13.1	NA			
15.1	अविचारयन्		अविचारयन्	अ-वि_चारयत्{पुं;1;एक{कृदन्त}({कृत्_धातु चर्2} शतृ_लट्{धातुः चरँ} चुरादिः)}	अ-वि_चारयत्{पुं;1;एक{कृदन्त}({कृत्_धातु चर्2} शतृ_लट्{धातुः चरँ} चुरादिः)}	वर्तमानसमानकालः,12.1	वर्तमानसमानकालः,12.1	N1			
16.1	.	.	-	-	-	-	-	FS	-		
