index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
													
1.1	दोषान्	1	दोषान्	दोष{पुं;2;बहु}	दोष{पुं;2;बहु}	मुख्यकर्म,4.1	N2	दोष					
2.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	NA	भी					
3.1	मन्त्र-	2	मन्त्र-भेदेषु	मन्त्र	मन्त्र	समासः,3.2	CP	मन्त्र-भेद_में					
3.2	भेदेषु			भेद{पुं;7;बहु}	भेद{पुं;7;बहु}	अधिकरणम्,1.1	N7						
4.1	ब्रूयाः	3	ब्रूयाः	ब्रू1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;ब्रूञ्;:अदादिः}	ब्रू1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;ब्रूञ्;:अदादिः}	अभिहित_कर्ता,5.1;सकर्मक	KP	कहो					
5.1	त्वम्		त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,4.1	N1	तुम					
6.1	मन्त्रि-	4	मन्त्रि-मण्डले	मन्त्रि	मन्त्रि	समासः,6.2	CP	मन्त्रि-मण्डल					
6.2	मण्डले			मण्डल{पुं;7;एक}	मण्डल{पुं;7;एक}	अधिकरणम्,9.1	N7						
7.1	अभेदे	5	अभेदे	अभेदा{स्त्री;1;द्वि}/अभेदा{स्त्री;2;द्वि}/अभेद{पुं;7;एक}	अभेद{पुं;7;एक}	समुच्चितः,6.1	N7	अभेद_में					
8.1	च	6	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.1	NA	भी					
9.1	गुणान्	7	गुणान्	गुण{पुं;2;बहु}	गुण{पुं;2;बहु}	समुच्चितः,1.1	N2	गुणों_को					
10.1	राजन्		राजन्	राजन्{पुं;8;एक}/राजत्{पुं;1;एक(राज्1;शतृ_लट्;राजृँ;:भ्वादिः)}	राजन्{पुं;8;एक}	सम्बोध्यः,4.1	N8	राजा					
11.1	पुनः		पुनः	पुनः{अव्य}	पुनः{अव्य}	वीप्सा,12.1	NA	फिर					
12.1	पुनः	8	पुनः	पुनः{अव्य}	पुनः{अव्य}	क्रियाविशेषणम्,4.1	NA	फिर					
13.1	अरिन्दम		अरिन्दम	अरिन्दम{पुं;8;एक}	राम{पुं;8;एक}	सम्बोध्यः,4.1	N8	अरिन्दम					
14.1	.	.	-	-	-	-	FS	-					
