index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	देश-	1	देश-अन्तरस्थाः	देश	देश	समासः,1.2	समासः,1.2	CP	देश-अन्तरस्थ					
1.2	अन्तरस्थाः			अन्तरस्थ{पुं;1;बहु}/अन्तरस्था{स्त्री;1;बहु}/अन्तरस्था{स्त्री;2;बहु}	अन्तरस्थ{पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1						
2.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	और					
3.1	नराः	2	नरा	नर{पुं;1;बहु}/नर{पुं;8;बहु}	नर{पुं;1;बहु}	कर्म,8.1	कर्म,8.1	N1	नर					
4.1	विक्रान्ताः	3	विक्रान्ताः	विक्रान्त{पुं;1;बहु}/विक्रान्ता{स्त्री;1;बहु}/विक्रान्ता{स्त्री;2;बहु}/विक्रान्त{पुं;8;बहु}/विक्रान्त{पुं;1;बहु(क्रम्1;क्त;क्रमुँ;:भ्वादिः)}/विक्रान्ता{स्त्री;1;बहु(क्रम्1;क्त;क्रमुँ;:भ्वादिः)}/विक्रान्ता{स्त्री;2;बहु(क्रम्1;क्त;क्रमुँ;:भ्वादिः)}	विक्रान्त{पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1	शूरवीर					
5.1	सर्व-	4	सर्व-कर्मसु	सर्व	सर्व	समासः,5.2	समासः,5.2	CP	सब-कर्मों_में					
5.2	कर्मसु			कर्मन्{नपुं;7;बहु}	कर्मन्{नपुं;7;बहु}	अधिकरणम्,8.1	अधिकरणम्,8.1	N7						
6.1	मात्राभिः	5	मात्राभिः	मात्रा{स्त्री;3;बहु}	मात्रा{स्त्री;3;बहु}	करणम्,8.1	करणम्,8.1	N3	मात्राओं_से					
7.1	अनुरूपाभिः		अनुरूपाभिः	अनुरूपा{स्त्री;3;बहु}	अनुरूपा{स्त्री;3;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N3	अनुरूप_से					
8.1	अनुग्राह्या:		अनुग्राह्या:	अनुग्राह्या{स्त्री;1;एक(ग्रह्1;ण्यत्;ग्रहँ;:क्र्यादिः)}	अनुग्राह्य{पुं;1;बहु{कृदन्त}({कृत्_धातु ग्रह्1} ण्यत्{धातुः ग्रहँ} क्र्यादिः)}	अभिहित_कर्म,2.1	अभिहित_कर्म,2.1	N1						
9.1	हिताः	6	हिताः	हित{पुं;1;बहु(धा1;क्त;डुधाञ्;:जुहोत्यादिः)}/हिता{स्त्री;1;बहु(धा1;क्त;डुधाञ्;:जुहोत्यादिः)}/हिता{स्त्री;2;बहु(धा1;क्त;डुधाञ्;:जुहोत्यादिः)}/हित{पुं;1;बहु(हि1;क्त;हि;:स्वादिः)}/हिता{स्त्री;1;बहु(हि1;क्त;हि;:स्वादिः)}/हिता{स्त्री;2;बहु(हि1;क्त;हि;:स्वादिः)}	हित{पुं;1;बहु(धा1;क्त;डुधाञ्;:जुहोत्यादिः)}/हितास्त्री;1;बहु(धा1;क्त;डुधाञ्;:जुहोत्यादिः)}/हितास्त्री;2;बहु(धा1;क्त;डुधाञ्;:जुहोत्यादिः)}/हितपुं;1;बहु(हि1;क्त;हि;:स्वादिः)}/हितास्त्री;1;बहु(हि1;क्त;हि;:स्वादिः)}/हितास्त्री;2;बहु(हि1;क्त;हि;:स्वादिः)}	विशेषणम्,3.1	विशेषणम्,3.1	N1						
10.1	त्वया		त्वया	युष्मद्{सर्वनाम;3;एक}	युष्मद्{सर्वनाम;3;एक}	कर्ता,8.1	कर्ता,8.1	N3	तुमसे					
11.1	.	.	-	-	-	-	-	FS	-					
