index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	samAsa	prayoga	sarvanAma	Name-classification
													
1.1	द्रव्याणाम्	1	द्रव्याणाम्	द्रव्य{नपुं;6;बहु}/द्रव्य{पुं;6;बहु}	द्रव्य{नपुं;6;बहु}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,2.1	N6	द्रव्यों_का				
2.1	सञ्चयः	2	सञ्चयः	सञ्चय{पुं;1;एक}	सञ्चय{पुं;1;एक}	कर्म,5.1	कर्म,5.1	N1	संग्रह				
3.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	और				
4.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	ही				
5.1	कर्तव्यः	3	कर्तव्यः	कर्तव्य{पुं;1;एक(कृ3;तव्यत्;डुकृञ्;:तनादिः)}/कर्तव्य{पुं;1;एक(कृ2;तव्यत्;कृञ्;:स्वादिः)}/कर्तव्य{पुं;1;एक(कृ1;तव्यत्;कृञ्;:भ्वादिः)}	कर्तव्य{पुं;1;एक(कृ3;तव्यत्;डुकृञ्;:तनादिः)}			N1					
6.1	स्यात्	4	स्यात्	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अनुयोगी,15.1	अनुयोगी,15.1	KP	हो				
7.1	महान्		महान्	मह{पुं;2;बहु}/महत्{पुं;1;एक}	 महत्{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1	उत्सवों_को				
8.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,6.1	क्रियाविशेषणम्,6.1	NA	वैसे				
9.1	यदा	5	यदा	यदा{अव्य}	यदा{अव्य}	नित्यसम्बन्धः,15.1	नित्यसम्बन्धः,15.1	NA	जब				
10.1	समर्थः	6	समर्थो	समर्थ{पुं;1;एक(अर्थ1;घञ्;अर्थ;:चुरादिः)}	समर्थ{पुं;1;एक(अर्थ1;घञ्;अर्थ;:चुरादिः)}	प्रतियोगी,9.1	प्रतियोगी,9.1	N1	समर्थ				
11.1	यानाय	7	यानाय	यान{नपुं;4;एक}	यान{नपुं;4;एक}	प्रयोजनम्,10.1	प्रयोजनम्,10.1	N4	वाहन_को				
12.1	नचिरेण	8	नचिरेण	नचिर{नपुं;3;एक}	नचिर{नपुं;3;एक}	क्रियाविशेषणम्,10.1	क्रियाविशेषणम्,10.1	N3	शीघ्र_से				
13.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	ही				
14.1	भारत	9	भारत	भारत{पुं;8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,6.1	सम्बोध्यः,6.1	N8	भारत				
15.1	तदा	10	तदा	तदा{अव्य}	तदा{अव्य}	नित्यसम्बन्धः,9.1	नित्यसम्बन्धः,9.1	NA	तब				
