index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	prayoga	sarvanAma	Name-classification
												
1.1	कौन्तेय	6	कौन्तेय	कौन्तेय{पुं;8;एक}	कौन्तेय{पुं;8;एक}	सम्बोध्यः,8.1	सम्बोध्यः,8.1	N8	कौन्तेय			
2.1	वृद्धिम्	5	वृद्धिम्	वृद्धि{स्त्री;2;एक}	वृद्धि{स्त्री;2;एक}	कर्म,3.1	कर्म,3.1	N2	वृद्धि_की			
3.1	इच्छता		इच्छता	इच्छत्{पुं;3;एक(इष्2;शतृ_लट्;इषुँ;:तुदादिः)}/इच्छत्{नपुं;3;एक(इष्2;शतृ_लट्;इषुँ;:तुदादिः)}	इच्छत्{नपुं;3;एक(इष्2;शतृ_लट्;इषुँ;:तुदादिः)}	कर्ता,8.1	कर्ता,8.1	N3	इच्छा_करता_हुआ			
4.1	अभ्युपगतः	3	अभ्युपगतः	अभ्युपगत{पुं;1;एक(गम्1;क्त;गमॢँ;:भ्वादिः)}	अभ्युपगत{पुं;1;एक(गम्1;क्त;गमॢँ;:भ्वादिः)}	विशेषणम्,5.1	विशेषणम्,5.1	N1	ण्थ्या			
5.1	सामन्तः	4	सामन्तः	सामन्त{पुं;1;एक}	सामन्त{पुं;1;एक}	कर्म,8.1	कर्म,8.1	N1	पड्॥़ओसी			
6.1	न	1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,8.1	प्रतिषेधः,8.1	NA	नहीं			
7.1	च	2	च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	भी			
8.1	हिंस्यः		हिंस्यः	हिंस्य{पुं;1;एक(हिस्1;ण्यत्;हिसिँ;:रुधादिः)}/हिंस्य{पुं;1;एक(हिस्2;यत्;हिसिँ;:चुरादिः)}	हिंस्य{पुं;1;एक(हिस्2;यत्;हिसिँ;:चुरादिः)}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	N1	जो_क्षतिग्रस्त_किया_जा_सके			
9.1	यः	10	यः	यद्{सर्वनाम;पुं;1;एक}	यद्{सर्वनाम;पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	जो			
10.1	महीम्	11	महीम्	मही{स्त्री;2;एक}	मही{स्त्री;2;एक}	कर्म,11.1	कर्म,11.1	N2	पृथ्वी			
11.1	विजिगीषते	12	विजिगीषते	वि_जयत्{पुं;1;एक(जि1;सन्नन्ते_लट्;जि;:भ्वादिः)}	वि_जयत्{पुं;1;एक(जि1;सन्नन्ते_लट्;जि;:भ्वादिः)}	अभिहित_कर्ता,9.1;सकर्मक	अभिहित_कर्ता,9.1;सकर्मक	KP	जीतने~की			
12.1	तम्	7	तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,14.1	कर्म,14.1	N2	वह			
13.1	न	8	न	न{अव्य}	न{अव्य}	प्रतिषेधः,14.1	प्रतिषेधः,14.1	NA	नहीं			
14.1	हिंसेत	9	हिंसेत	हिस्2{कर्तरि;विधिलिङ्;म;बहु;परस्मैपदी;हिसिँ;:चुरादिः}	हिस्2{कर्तरि;विधिलिङ्;म;बहु;परस्मैपदी;हिसिँ;:चुरादिः}	अभिहित_कर्म,12.1	अभिहित_कर्म,12.1	KP	हिस्2_प्प्_स्क्यें			
15.1	.	.	-	-	-	-	-	FS	-	-		
