index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	samAsa	prayoga	sarvanAma	Name-classification
													
1.1	यदि	1	यदि	यदि{अव्य}	यदि{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	यदि	नित्य_सम्बन्धः,9			
2.1	एवम्		एवम्	एवम्{अव्य}	एवम्{अव्य}	क्रियाविशेषणम्,8.1	क्रियाविशेषणम्,8.1	NA	ऐसा				
3.1	अभियायात्		अभियायात्	अभि_या1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}	अभि_या1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;या;:अदादिः}	अभिहित_कर्ता,8.1	अभिहित_कर्ता,8.1	KP	अभि_या1_प्प्_स्क्यें				
4.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	और				
5.1	दुर्बलम्	2	दुर्बलम्	दुर्बल{पुं;2;एक}/दुर्बल{नपुं;1;एक}/दुर्बल{नपुं;2;एक}	दुर्बल{पुं;2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	कमजोर				
6.1	(नृपम्)			नृप{पुं;2;एक}	नृप{पुं;2;एक}	कर्म,3.1	कर्म,3.1	N2	राजा_को				
7.1	बलवान्	3	बलवान्	बल{मतुप्;पुं;1;एक}	बल{मतुप्;पुं;1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N1	बल				
8.1	नृपः		नृपः	नृप{पुं;1;एक}	नृप{पुं;1;एक}	कर्ता,3.1	कर्ता,3.1	N1	राजा				
9.1	(तर्हि)			तर्हि{अव्य}	तर्हि{अव्य}	सम्बन्धः,16.1;नित्यसम्बन्धः,1.1	सम्बन्धः,16.1;नित्यसम्बन्धः,1.1	NA	तो	नित्य_सम्बन्धः,1			
10.1	(दुर्बलः)			दुर्बल{पुं;1;एक}	दुर्बल{पुं;1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N1	कमजोर				
11.1	(नृपः)			नृप{पुं;1;एक}	नृप{पुं;1;एक}	कर्ता,16.1	कर्ता,16.1	N1	राजा				
12.1	साम-	4	साम-आदिभिः	साम	साम	समासः,12.2	समासः,12.2	CP	साम-पहेलों_से				
12.2	आदिभिः			आदि{स्त्री;3;बहु}/आदि{नपुं;3;बहु}/आदि{पुं;3;बहु}	आदि{पुं;3;बहु}	विशेषणम्,13.1	विशेषणम्,13.1	N3					
13.1	उपायैः		उपायैः	उपाय{पुं;3;बहु}/उपाय{पुं;3;बहु(इ1;घञ्;इण्;:अदादिः)}	उपाय{पुं;3;बहु(इ1;घञ्;इण्;:अदादिः)}	करणम्,16.1	करणम्,16.1	N3	उपायों_से				
14.1	तम् (बलवन्तम् नृपम्)		तम्	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,16.1	कर्म,16.1	N2	उसको				
15.1	क्रमेण	5	क्रमेण	क्रम{पुं;3;एक}	क्रम{पुं;3;एक}	क्रियाविशेषणम्,16.1	क्रियाविशेषणम्,16.1	N3	क्रम_से				
16.1	विनिवर्तयेत्	6	विनिवर्तयेत्	वि_नि_वृत्3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;वृतुँ;:चुरादिः}/वृत्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;वृतुँ;:भ्वादिः}/वृत्3{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;वृतुँ;:चुरादिः}	वि_नि_वृत्3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;वृतुँ;:चुरादिः}	अभिहित_कर्ता,11.1;सकर्मक	अभिहित_कर्ता,11.1;सकर्मक	CP	बोले				
17.1	.	.	-	-	-	-	-	FS	-				
