index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	
										
1.1	यथा	4	यथा	यथा{अव्य} 	यथा{अव्य} 	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	जैसे 	
2.1	सर्वस्य	3	सर्वस्य	सर्व{सर्वनाम;पुं;6;एक}/सर्व{सर्वनाम;नपुं;6;एक}	सर्व{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	सबके	
3.1	असम्भवे	1	असम्भवे	असम्भव{नपुं;1;द्वि}/असम्भव{नपुं;2;द्वि}/असम्भवा{स्त्री;1;द्वि}/असम्भवा{स्त्री;2;द्वि}/असम्भव{नपुं;8;द्वि}/असम्भव{पुं;7;एक}/असम्भव{नपुं;7;एक}	असम्भव{पुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	असम्भव_में	
4.1	मुख्येन		मुख्येन	मुख्य{पुं;3;एक}/मुख्य{नपुं;3;एक}	मुख्य{पुं;3;एक}	करणम्,7.1	करणम्,7.1	N3	मुख्य_से	
5.1	तु	2	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	तो	
6.1	(राजा)			राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	राजा	
7.1	निष्पतेत्	5	निष्पतेत्	निस्_पत्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;पतॢँ;:भ्वादिः}	निस्_पत्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;पतॢँ;:भ्वादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	गिरे	
8.1	अनेन	6	अनेन	इदम्{सर्वनाम;पुं;3;एक}/इदम्{सर्वनाम;नपुं;3;एक}/अन{पुं;3;एक}	इदम्{सर्वनाम;पुं;3;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N3	इस	
9.1	क्रमेण		क्रमेण	क्रम{पुं;3;एक}	क्रम{पुं;3;एक}	क्रियाविशेषणम्,14.1	क्रियाविशेषणम्,14.1	N3	क्रम_से	
10.1	केवलम्	9	केवलम्	केवल{पुं;2;एक}/केवल{नपुं;1;एक}/केवल{नपुं;2;एक}	केवल{नपुं;1;एक}	तीव्रतादर्शी,11.1	तीव्रतादर्शी,11.1	N1	केवल	
11.1	शरीरम्	8	शरीरम्	शरीर{नपुं;1;एक}/शरीर{नपुं;2;एक}	शरीर{नपुं;1;एक}	कर्ता,14.1	कर्ता,14.1	N1	शरीर	
12.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	भी	
13.1	मोक्षः	7	मोक्षः	मोक्ष{पुं;1;एक}	मोक्ष{पुं;1;एक}	विधेय_विशेषणम्,11.1	विधेय_विशेषणम्,11.1	N1	मोक्ष	
14.1	स्यात्		स्यात्	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,11.1	अभिहित_कर्ता,11.1	KP	हो	
15.1	.	.	-	-	-	-	-	FS	-	-
