index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	prayoga	sarvanAma	Name-classification
													
1.1	लब्धं	1	लब्धं	लब्ध{पुं;2;एक(लभ्1;क्त;डुलभँष्;:भ्वादिः)}/लब्ध{नपुं;1;एक(लभ्1;क्त;डुलभँष्;:भ्वादिः)}/लब्ध{नपुं;2;एक(लभ्1;क्त;डुलभँष्;:भ्वादिः)}	लब्ध{पुं;2;एक(लभ्1;क्त;डुलभँष्;:भ्वादिः)}	कर्म,2.1	कर्म,2.1	N2	जान् करके				
2.1	प्रशमयेत्	2	प्रशमयेत्	शम्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;शमुँ;:दिवादिः}	शम्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;शमुँ;:दिवादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP					
3.1	राजा		राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,2.1;कर्ता,4.1;कर्ता,12.1	कर्ता,2.1;कर्ता,4.1;कर्ता,12.1	N1	राजा				
4.1	निक्षिपेत्	3	निक्षिपेत्	नि_क्षिप्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;क्षिपँ;:तुदादिः}	नि_क्षिप्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;क्षिपँ;:तुदादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	स्तापित् करके				
5.1	धनिनः		धनिनः	धनिन्{पुं;1;बहु}/धनिन्{पुं;2;बहु}/धनिन्{पुं;5;एक}/धनिन्{पुं;6;एक}/धनिन्{पुं;8;बहु}	धनिनः{पुं;2;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N2	बलवान्				
6.1	नरान्	4	नरान्	नर{पुं;2;बहु}	नर{पुं;2;बहु}	कर्म,4.1	कर्म,4.1	N2	नरों_को				
7.1	ज्ञात्वा	5	ज्ञात्वा	ज्ञा2{अव्य;क्त्वा;ज्ञा;:क्र्यादिः}	ज्ञा2{अव्य;क्त्वा;ज्ञा;:क्र्यादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA	पहचान् करके				
8.1	स्व-	6	स्व-विषयम्	स्व	स्व	समासः,8.2	समासः,8.2	CP	अपना बल् को				
8.2	विषयम्			विषय{पुं;2;एक}/विषय{नपुं;1;एक}/विषय{नपुं;2;एक}	विषय{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2					
9.1	तं	7	तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	कर्म,12.1	कर्म,12.1	N2	उसको				
10.1	च	8	च	च{अव्य}	च{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	और				
11.1	साम-	9	साम-आदिभिः	साम	साम	समासः,11.2	समासः,11.2	CP	साम-आदियों_से				
11.2	आदिभिः			आदि{स्त्री;3;बहु}/आदि{नपुं;3;बहु}/आदि{पुं;3;बहु}	आदि{नपुं;3;बहु}	करणम्,12.1	करणम्,12.1	N3					
12.1	उपक्रमेत्		उपक्रमेत्	उपक्रम	उप_क्रम{कर्तरि; विधिलिङ्;प्र्;एक;परस्मैपदी;}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	आरम्भ् करना चहिये				
13.1	.	.	-	-	-	-	-	FS	-				
