index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	अस्माकम्	1	अस्माकम्	अस्मद्{सर्वनाम;6;बहु}	अस्मद्{सर्वनाम;6;बहु}	सम्बन्धः,3.1	सम्बन्धः,3.1	N6	हममें				
2.1	भवताम्	2	भवताम्	भवत्{सर्वनाम;पुं;6;बहु}/भू1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भू;:भ्वादिः}/भवत्{पुं;6;बहु}	भवत्{पुं;6;बहु}	सम्बन्धः,3.1	सम्बन्धः,3.1	N6	आपमें				
3.1	(मध्ये)			मध्य{पुं;7;एक}	मध्य{पुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	मध्य_में				
4.1	च	3	च	च{अव्य}	च{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	भी				
5.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	ही				
6.1	इयम्		इयम्	इदम्{सर्वनाम;स्त्री;1;एक}	इदम्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N1	यह				
7.1	प्रीतिः	5	प्रीतिः	प्रीति{स्त्री;1;एक}	प्रीति{स्त्री;1;एक}	कर्ता,10.1	कर्ता,10.1	N1	प्रसन्नता				
8.1	शाश्वती	6	शाश्वती	शाश्वती{स्त्री;1;एक}	शाश्वती{स्त्री;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N1	शाश्वती				
9.1	हि			हि{अव्य}	हि{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	हि				
10.1	(अस्ति)			अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,7.1	अभिहित_कर्ता,7.1	KP	है				
11.1	या	4	या	यद्{सर्वनाम;स्त्री;1;एक}	यद्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N1	जो				
12.1	सा		सा	तद्{सर्वनाम;स्त्री;1;एक}	तद्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,19.1	विशेषणम्,19.1	N1	वह				
13.1	अन्येषु	8	अन्येषु	अन्य{सर्वनाम;पुं;7;बहु}/अन्य{सर्वनाम;नपुं;7;बहु}	अन्य{सर्वनाम;पुं;7;बहु}	विशेषणम्,14.1	विशेषणम्,14.1	N7	अन्य_				
14.1	देशेषु	9	देशेषु	देश{पुं;7;बहु}	देश{पुं;7;बहु}	कालाधिकरणम्,21.1	कालाधिकरणम्,21.1	N7	देशों_में				
15.1	(प्रजानाम्)			प्रजा{स्त्री;6;बहु}	प्रजा{स्त्री;6;बहु}	सम्बन्धः,17.1	सम्बन्धः,17.1	N6	प्रजा_के				
16.1	राज्ञाम्	10	राज्ञाम्	राजन्{पुं;6;बहु}	राजन्{पुं;6;बहु}	सम्बन्धः,17.1	सम्बन्धः,17.1	N6	राजाओं_में				
17.1	(मध्ये)			मध्य{पुं;7;एक}	मध्य{पुं;7;एक}	अधिकरणम्,19.1	अधिकरणम्,19.1	N7	मध्य_में				
18.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,17.1	सम्बन्धः,17.1	NA	भी				
19.1	(प्रीतिः)			प्रीति{स्त्री;1;एक}	प्रीति{स्त्री;1;एक}	कर्ता,21.1	कर्ता,21.1	N1	प्रसन्नता				
20.1	न	7	न	न{अव्य}	न{अव्य}	प्रतिषेधः,21.1	प्रतिषेधः,21.1	NA	नहीं				
21.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,19.1	अभिहित_कर्ता,19.1	KP	है				
22.1	इति		इति	इति{अव्य}	इति{अव्य}	कर्ता,25.1	कर्ता,25.1	NA	ऐसा				
23.1	मम	11	मम	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,24.1	षष्ठीसम्बन्धः,24.1	N6	मेरी				
24.1	मतिः		मतिः	मति{स्त्री;1;एक}	मति{स्त्री;1;एक}	विधेय_विशेषणम्,25.1	विधेय_विशेषणम्,25.1	N1	मति				
25.1	(अस्ति)			अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,22.1	अभिहित_कर्ता,22.1	KP	है				
26.1	.	.	-	-	-	-	-	FS	-				
