index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	Name-classification
											
1.1	यथा	1	यथा	यथा{अव्य}	यथा{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	जैसे		
2.1	च	2	च	च{अव्य}	च{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	भी		
3.1	पाण्डुः	3	पाण्डुः	पाण्डु{पुं;1;एक}/पाण्डु{स्त्री;1;एक}	पाण्डु{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	पाण्डु		
4.1	भ्राता		भ्राता	भ्रातृ{पुं;1;एक}	भ्रातृ{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1	भाई		
5.1	मे	4	मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	मेरा		
6.1	दयितः	5	दयितः	दयित{पुं;1;एक(दय्1;क्त;दयँ;:भ्वादिः)}	दयित{पुं;1;एक(दय्1;क्त;दयँ;:भ्वादिः)}	विधेय_विशेषणम्,9.1	विधेय_विशेषणम्,9.1	N1	दान-दिया_हुआ		
7.1	भवताम्	6	भवताम्	भवत्{सर्वनाम;पुं;6;बहु}/भू1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भू;:भ्वादिः}/भवत्{पुं;6;बहु}	भवत्{पुं;6;बहु}	षष्ठीसम्बन्धः,6.1	षष्ठीसम्बन्धः,6.1	N6	आपका		
8.1	अभूत्		अभूत्	भू1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}	भू1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;भू;:भ्वादिः}	अभिहित_कर्ता,9.1	अभिहित_कर्ता,9.1	KP	हुआ		
9.1	सः	7	स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	उसने		
10.1	च	8	च	च{अव्य}	च{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	भी		
11.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	भी		
12.1	पालयामास	9	पालयामास	पाल्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;पालँ;:चुरादिः}/पाल्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;पालँ;:चुरादिः}/पाल्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;पालँ;:चुरादिः}/पा2{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;पा;:अदादिः}/पा2{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;पा;:अदादिः}/पल्1{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;पलँ;:भ्वादिः}/पल्1{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;पलँ;:भ्वादिः}	पाल्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;पालँ;:चुरादिः}	अभिहित_कर्ता,3.1	अभिहित_कर्ता,3.1	KP	पालन_किया		
13.1	यथावत्	10	यथावत्	यथावत्{अव्य}	यथावत्{अव्य}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	NA	ठीक_ठीक_ज्यों_का_त्यों		
14.1	तत्		तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;2;एक}	कर्म,17.1;वाक्यकर्म,12.1	कर्म,17.1;वाक्यकर्म,12.1	N2	वह		
15.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,14.1	सम्बन्धः,14.1	NA	भी		
16.1	(त्वं)	11	त्वं	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,17.1	कर्ता,17.1	N1	तुम		
17.1	वेत्थ	12	वेत्थ	विद्1{कर्तरि;लट्;म;एक;परस्मैपदी;विदँ;:अदादिः}	विद्1{कर्तरि;लट्;म;एक;परस्मैपदी;विदँ;:अदादिः}	अभिहित_कर्ता,16.1;सकर्मक	अभिहित_कर्ता,16.1;सकर्मक	KP	समझते_हो		
18.1	ह	13	ह	ह{अव्य}	ह{अव्य}	सम्बन्धः,17.1	सम्बन्धः,17.1	NA	ह		
19.1	.	.	-	-	-	-	-	FS	-	-	
