index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	Name-classification
												
1.1	तत्	1	तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तत्{अव्य	कालाधिकरणम्,11.1	कालाधिकरणम्,11.1	N1	तत्			
2.1	मया		मया	अस्मद्{सर्वनाम;3;एक}	अस्मद्{सर्वनाम;3;एक}	कर्ता,10.1	कर्ता,10.1	N3	मुझसे			
3.1	इदम्		इदम्	इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक}	इदम्{सर्वनाम;नपुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N1	इसको			
4.1	वै	6	वै	वै{अव्य}	वै{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	सुखना			
5.1	असाधु	5	असाधु	असाधु{नपुं;1;एक}/असाधु{नपुं;2;एक}/असाधु{नपुं;8;एक}	असाधु{नपुं;1;एक}	अन्यतरः,7.1	अन्यतरः,7.1	N1	असाधु_को			
6.1	वा		वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,7.1	अन्यतर_द्योतकः,7.1	NA	वा			
7.1	साधु	2	साधु	साधु{नपुं;1;एक}/साधु{नपुं;2;एक}/साधु{नपुं;8;एक}	साधु{नपुं;1;एक}	कर्म,10.1	कर्म,10.1	N1	साधु			
8.1	वा	3	वा	वा{अव्य}	वा{अव्य}	सुप्_अन्यतर_द्योतकः,7.1	सुप्_अन्यतर_द्योतकः,7.1	NA	वा			
9.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	भी			
10.1	कृतम्	7	कृतम्	कृत्{पुं;2;एक}/कृत{नपुं;1;एक}/कृत{नपुं;2;एक}/कृत{पुं;2;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{नपुं;1;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{नपुं;2;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृत{पुं;2;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{नपुं;1;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{नपुं;2;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृत{पुं;2;एक(कृ1;क्त;कृञ्;:भ्वादिः)}/कृत{नपुं;1;एक(कृ1;क्त;कृञ्;:भ्वादिः)}/कृत{नपुं;2;एक(कृ1;क्त;कृञ्;:भ्वादिः)}	कृत{नपुं;1;एक(कृ1;क्त;कृञ्;:भ्वादिः)}	कर्ता,11.1	कर्ता,11.1	N1	निर्मित			
11.1	(अस्ति)			अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	प्रतियोगी,12.1;अभिहित_कर्ता,10.1	प्रतियोगी,12.1;अभिहित_कर्ता,10.1	KP	है			
12.1	यदि	4	यदि	यदि{अव्य}	यदि{अव्य}	नित्यसम्बन्धः,13.1	नित्यसम्बन्धः,13.1	NA	यदि			
13.1	(तर्हि)			तर्हि{अव्य}	तर्हि{अव्य}	अनुयोगी,22.1	अनुयोगी,22.1	NA	तो			
14.1	तत्	8	तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	कर्म,18.1	कर्म,18.1	N1	वह			
