index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa
											
1.1	सचिवाः	2	सचिवा	सचिव{पुं;1;बहु}/सचिव{पुं;8;बहु}	सचिव{पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1	सचिव		
2.1	चत्वारः	1	चत्वारः	चतुर्{संख्येयम्;पुं;1;बहु}	चतुर्{संख्येयम्;पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1	चार		
3.1	भ्रातरः	4	भ्रातरो	भ्रातृ{पुं;1;बहु}/भ्रातृ{पुं;2;बहु}/भ्रातृ{पुं;8;बहु}	भ्रातृ{पुं;1;बहु}	कर्ता,10.1	कर्ता,10.1	N1	भाई		
4.1	विपुल-	5	विपुल-ओजसः	विपुल	विपुल	समासः,4.2	समासः,4.2	CP	पर्याप्त-शक्ति_के		
4.2	ओजसः			ओजस्{नपुं;5;एक}/ओजस्{नपुं;6;एक}/ओजस्{पुं;8;बहु}/ओजस्{पुं;1;बहु}/ओजस्{पुं;2;बहु}/ओजस्{पुं;5;एक}/ओजस्{पुं;6;एक}	ओजस्{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1			
5.1	धर्म-	9	धर्म-अर्थ-दर्शिनः	धर्म	धर्म	समासः,5.3	समासः,5.3	CP	धर्म-अर्थ-दर्शिन्_के		
5.2	अर्थ-			अर्थ	अर्थ	समासः,5.3	समासः,5.3	CP			
5.3	दर्शिनः			दर्शिन्{पुं;1;बहु}/दर्शिन्{पुं;2;बहु}/दर्शिन्{पुं;5;एक}/दर्शिन्{पुं;6;एक}	दर्शिन्{पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,3.1	N1			
6.1	लोक-	6	लोक-पाल-उपमाः	लोक	लोक	समासः,6.2	समासः,6.2	CP	लोक-पाल-उपम		
6.2	पाल-			पाल	पाल	समासः,6.3	समासः,6.3	CP			
