index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification	Marathi
															
1.1	कौरव्य	10	कौरव्य	कौरव्य{पुं;8;एक}	कौरव्य{पुं;8;एक}	सम्बोध्यः,13.1	सम्बोध्यः,13.1	N8	हे कौरव पुत्र 						
2.1	वृद्धेन	8	वृद्धेन	वृद्ध{पुं;3;एक}/वृद्ध{नपुं;3;एक}	वृद्ध{पुं;3;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N3	वृद्ध						
3.1	तेन	5	तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनुँ;:तनादिः}	तद्{सर्वनाम;पुं;3;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N3	उस						
4.1	राज्ञा	9	राज्ञा	राजन्{पुं;3;एक}	राजन्{पुं;3;एक}	कर्ता,6.1	कर्ता,6.1	N3	राजा_के_द्वारा						
5.1	एवम्	1	एवम्	एवम्{अव्य}	एवम्{अव्य}	क्रियाविशेषणम्,6.1	क्रियाविशेषणम्,6.1	NA	ऐसा						
6.1	उक्ताः	2	उक्ताः	उक्त{पुं;1;बहु(वच्1;क्त;वचँ;:अदादिः)}/उक्ता{स्त्री;1;बहु(वच्1;क्त;वचँ;:अदादिः)}/उक्ता{स्त्री;2;बहु(वच्1;क्त;वचँ;:अदादिः)}	उक्त{पुं;1;बहु(वच्1;क्त;वचँ;:अदादिः)}	विशेषणम्,9.1	विशेषणम्,9.1	N1	कहा_हुवे						
7.1	तु	3	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	तो						
8.1	पौर-	6	पौर-जानपदा	पौर	पौर	समासः,8.2	समासः,8.2	CP	पौर-देहाती						
8.2	जानपदाः			जानपद{पुं;8;बहु}/जानपद{पुं;1;बहु}/जानपदा{स्त्री;8;बहु}/जानपदा{स्त्री;1;बहु}/जानपदा{स्त्री;2;बहु}	जानपद{पुं;1;बहु}	विशेषणम्,9.1	विशेषणम्,9.1	N1							
9.1	जनाः	7	जनाः	जन{पुं;1;बहु}/जन{पुं;8;बहु}	जन{पुं;1;बहु}	कर्ता,13.1	कर्ता,13.1	N1	जन						
10.1	ते	4	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,9.1	विशेषणम्,9.1	N1	वे						
11.1	नष्ट-	11	नष्ट-सञ्ज्ञाः	नष्ट	नष्ट	समासः,11.2	समासः,11.2	CP	संज्ञायें						
11.2	सञ्ज्ञाः			सञ्ज्ञ{पुं;8;बहु}/सञ्ज्ञ{पुं;1;बहु}/सञ्ज्ञा{स्त्री;8;बहु}/सञ्ज्ञा{स्त्री;1;बहु}/सञ्ज्ञा{स्त्री;2;बहु}	सञ्ज्ञा{स्त्री;1;बहु}	उपमानम्,9.1	उपमानम्,9.1	N1							
12.1	इव	12	इव	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,11.2	उपमान_द्योतकः,11.2	NA	जैसे						
13.1	अभवन्	13	अभवन्	भू1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}	भू1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}	अभिहित_कर्ता,9.1	अभिहित_कर्ता,9.1	KP	हुए						
14.1	.	.	-	-	-	-	-	FS							
