index	word	poem	sandhied_word	morph_in_context	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	अनुमान्य		अनुमान्य	अनु_मान्1{अव्य;ल्यप्;मानँ;:भ्वादिः}	अनु_मान्1{अव्य;ल्यप्;मानँ;:भ्वादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA	अनु_मान्1_कर					
2.1	महाराजम्		महाराजम्	महाराज{पुं;2;एक}	महाराज{पुं;2;एक}	कर्म,1.1	कर्म,1.1	N2	महाराज					
3.1	तत्		तत्	तत्	तत्	विशेषणम्,4.1	विशेषणम्,4.1	NA	तत्-आसन					
4.1	सदः		सदः	सदस्{नपुं;1;एक}/सदस्{नपुं;2;एक}/सदस्{नपुं;8;एक}/सद{पुं;1;एक}/सदस्{पुं;8;एक}	सदस्{नपुं;2;एक}	कर्म,5.1	कर्म,5.1	N2						
5.1	सम्प्रभाष्य		सम्-प्रभाष्य	सम्_प्र_भाष्1{अव्य;ल्यप्;भाषँ;:भ्वादिः}	सम्_प्र_भाष्1{अव्य;ल्यप्;भाषँ;:भ्वादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA	बोल_कर					
6.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	और					
7.1	विप्रः		विप्रः	विप्र{पुं;1;एक}	विप्र{पुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	ब्राह्मण					
8.1	प्रगल्भः		प्रगल्भः	प्रगल्भ{पुं;1;एक}	प्रगल्भ{पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N1	साहसी					
9.1	मेधावी		मेधावी	मेधाविन्{पुं;1;एक}	मेधाविन्{पुं;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N1	मेधावी					
10.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	समुच्चितः,7.1	समुच्चितः,7.1	N1	वह					
11.1	राजानम्		राजानम्	राजन्{पुं;2;एक}	राजन्{पुं;2;एक}	कर्म,12.1	कर्म,12.1	N2	राजा_को					
12.1	उवाच		उवाच	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;वचँ;:अदादिः}	वच्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;वचँ;:अदादिः}/वच्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;वचँ;:अदादिः	अभिहित_कर्ता,7.1	अभिहित_कर्ता,7.1	KP	बोला					
13.1	ह		ह	ह{अव्य}	ह{अव्य}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1	NA	ह					
14.1	.	.	-	-	-	-	-	FS	-					
