index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	sarvanAma	Name-classification
													
1.1	गुरुः	1	गुरुः	गुरु{पुं;1;एक}	गुरु{पुं;1;एक}	विधेय_विशेषणम्,2.1	विधेय_विशेषणम्,2.1	N1	गुरु				
2.1	मतः		मतः	मत{पुं;1;एक(मन्1;क्त;मनँ;:दिवादिः)}/मत{पुं;1;एक(मन्2;क्त;मनुँ;:तनादिः)}	मत{पुं;1;एक(मन्1;क्त;मनँ;:दिवादिः)}	-	-	N1	उद्देश् है				
3.1	भवान्	2	भवान्	भव{पुं;2;बहु}/भवत्{सर्वनाम;पुं;1;एक}	भवत्{सर्वनाम;पुं;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	संसार_को				
4.1	अस्य		अस्य	इदम्{सर्वनाम;पुं;6;एक}/इदम्{सर्वनाम;नपुं;6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;:दिवादिः}	इदम्{सर्वनाम;नपुं;6;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N6	इसका				
5.1	कृत्स्नस्य	3	कृत्स्नस्य	कृत्-सन{नपुं;6;एक}/सन{पुं;6;एक}	कृत्स्न{नपुं;6;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N6	क्रुत्-सन_का				
6.1	जगतः	4	जगतः	जगत्{नपुं;5;एक}/जगत्{नपुं;6;एक}/जगत्{पुं;1;बहु}/जगत्{पुं;2;बहु}/जगत्{पुं;5;एक}/जगत्{पुं;6;एक}/}/जगत्{पुं;8;बहु}	जगत्{नपुं;6;एक}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,7.1	N6	जगत्_से				
7.1	प्रभुः	5	प्रभुः	प्रभु{पुं;1;एक}	प्रभु{पुं;1;एक}	विधेय_विशेषणम्,3.1	विधेय_विशेषणम्,3.1	N1	प्रभु				
8.1	धर्मात्मानम्	6	धर्मात्मानम्	धर्मात्मन्{पुं;2;एक}	धर्मात्मन्{पुं;2;एक}	विशेषणम्,12.1	विशेषणम्,12.1	N2	धर्मात्मा_को				
9.1	अतः		अतः	अतः{अव्य}	अतः{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	अतः				
10.1	तुभ्यं		तुभ्यं	युष्मद्{सर्वनाम;4;एक}	युष्मद्{सर्वनाम;4;एक}	सम्प्रदानम्,11.1	सम्प्रदानम्,11.1	N4	तुम्हें				
11.1	अनुजानीमहे		अनुजानीमहे	-	-	अभिहित_कर्म,8.1	अभिहित_कर्म,8.1	KP	जान्ते है				
12.1	सुतम्	7	सुतम्	सुत{पुं;2;एक}/षु2{कर्तरि;लोट्;म;द्वि;परस्मैपदी;षु;:अदादिः}/सुत{पुं;2;एक(षु3;क्त;षुञ्;:स्वादिः)}/सुत{नपुं;1;एक(षु3;क्त;षुञ्;:स्वादिः)}/सुत{नपुं;2;एक(षु3;क्त;षुञ्;:स्वादिः)}/सुत{पुं;2;एक(शु1;क्त;शु;:भ्वादिः)}/सुत{नपुं;1;एक(शु1;क्त;शु;:भ्वादिः)}/सुत{नपुं;2;एक(शु1;क्त;शु;:भ्वादिः)}/सुत{पुं;2;एक(षु2;क्त;षु;:अदादिः)}/सुत{नपुं;1;एक(षु2;क्त;षु;:अदादिः)}/सुत{नपुं;2;एक(षु2;क्त;षु;:अदादिः)}	सुत{पुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	पुत्र_को				
13.1	(अस्माकम्)				अस्मद्{सर्वनाम;6;बहु}	षष्ठीकर्ता,2.1	षष्ठीकर्ता,2.1	N6					
14.1	-	-	-	-	-	-	-	FS	-				
