index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification	Marathi_meaning
															
1.1	दीर्घदर्शी	1	दीर्घदर्शी	दीर्घदर्शिन्{पुं;1;एक}	दीर्घदर्शिन्{पुं;1;एक}	विधेय_विशेषणम्,9.1	विधेय_विशेषणम्,9.1	N1	दूरदर्शी	far_sighted					दूरदर्शी
2.1	कृतप्रज्ञः	2	कृतप्रज्ञः	कृ3{क्त;डुकृञ्;:तनादिः}/कृ2{क्त;कृञ्;:स्वादिः}/कृ1{क्त;कृञ्;:भ्वादिः-प्रज्ञ;पुं;1;एक}	कृ1{क्त;कृञ्;:भ्वादिः-प्रज्ञ;पुं;1;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N1	कीर्तिमान_पंडित	accomplished_scholar					कीर्तिमान_पंडित
3.1	सदा	3	सदा	सदा{अव्य}	सदा{अव्य}	कालाधिकरणम्,11.1	कालाधिकरणम्,11.1	NA	हमेशा	always					सदा
4.1	वैश्रवणः	4	वैश्रवणः	वैश्रवण{पुं;1;एक}	वैश्रवण{पुं;1;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N1	कुबेर	Kubera					कुबेर
5.1	यथा	5	यथा	यथा{अव्य}	यथा{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	जैसे	like					सारखा
6.1	अक्षुद्र-	6	अक्षुद्र-सचिवः	अक्षुद्र	अक्षुद्र	समासः,6.2	समासः,6.2	CP	प्रभावी_मित्र	great_friend					प्रभावी_मित्र
6.2	सचिवः			सचिव{पुं;1;एक}	सचिव{पुं;1;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N1							
7.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	समुच्चय_द्योतकः,1.1	NA	भी	too					आणि
8.1	अयम्		अयम्	इदम्{सर्वनाम;पुं;1;एक}/अय{पुं;2;एक}	इदम्{सर्वनाम;पुं;1;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N1	यह	This					हा
9.1	कुन्तीपुत्रः	7	कुन्तीपुत्रः	कुन्ती-पुत्र{पुं;1;एक}	कुन्ती-पुत्र{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	कुन्ती-पुत्र	Kunti's_Son					कुन्ती-पुत्र
10.1	महामनाः	8	महामनाः	महामनस्{पुं;1;एक}	महामनस्{पुं;1;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N1	महामना	high_minded					महामानळ
11.1	(अस्ति)			अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	है	is					आहे
12.1	.	.	-	-	-	-	-	FS	-	-					
