index	word	poem	  	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,13.1	कर्ता,13.1#विशेषणम्,8.2#विशेषणम्,7.1#कर्म,7.1	N1	वह	वह
2.1	राज्ञा		राज्ञा	राजन्{पुं;3;एक}	राजन्{पुं;3;एक}	समुच्चितः,4.1	सुप्_समुच्चितः,5.1#कर्ता,7.1#हेतुः,7.1#समुच्चितः,4.1	N3	राजा_से	राजा_से
3.1	धर्म-		धर्म-शीलेन	धर्म	धर्म	समासः,3.2	समासः,3.2	CP	धर्म-	धर्म-
3.2	शीलेन		--	शील{पुं;3;एक}/शील{नपुं;3;एक}	शील{पुं;3;एक}	विशेषणम्,2.1	सुप्_समुच्चितः,5.1#कर्ता,7.1#हेतुः,7.1#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,2.1	N3	शील1_से	शील1_से
4.1	भ्रात्रा		भ्रात्रा	भ्रातृ{पुं;3;एक}	भ्रातृ{पुं;3;एक}	कर्ता,7.1;कर्ता,14.1	प्रयोजककर्ता,13.1#सुप्_समुच्चितः,5.1#कर्ता,7.1#हेतुः,7.1	N3	भाई_से	भाई_से
5.1	बीभत्सुना		बीभत्सुना	बीभत्सु{पुं;3;एक}	बीभत्सु{पुं;3;एक}	विशेषणम्,4.1	कर्ता,7.1#हेतुः,7.1#विशेषणम्,4.1	N3	अर्जुन_से	अर्जुन_से
6.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1#सुप्_समुच्चय_द्योतकः,5.1#क्रियाविशेषणम्,7.1	NA	और	और
7.1	अनुनीतः		अनुनीतः	अनुनीत{पुं;1;एक(अनु_णी1;क्त;भ्वादिः)}	अनुनीत{पुं;1;एक(अनु_णी1;क्त;भ्वादिः)}	विधेय_विशेषणम्,1.1	विधेय_विशेषणम्,1.1	N1	अनु_णी1या_हुआ	अनु_णी1या_हुआ
8.1	महत्-		महत्-बाहुः	महत्	महत्	समासः,8.2	समासः,8.2	CP	महत्-	महत्-
8.2	बाहुः		--	बाहु{पुं;1;एक}	बाहु{पुं;1;एक}	विशेषणम्,1.1	विशेषणम्,7.1#विशेषणम्,1.1#कर्म,7.1	N1	भुजा	भुजा
9.1	सौहृदे		सौहृदे	सौहृद{पुं;7;एक}/सौहृद{नपुं;7;एक}	सौहृद{पुं;7;एक}	अधिकरणम्,14.1	अधिकरणम्,7.1#अधिकरणम्,14.1	N7	भाईचारे_में	भाईचारे_में
10.1	स्थापितः		स्थापितः	-	-	विधेय_विशेषणम्,1.1	विधेय_विशेषणम्,1.1	N1		
11.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	भी	भी
12.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	च1	च1
13.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	+	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	है	है
14.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,4.1	अभिहित_कर्ता	KP	है	है
15.1	.		.	-	-	-	-	FS	-	-
