index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	एवम्		एवम्	एवम्{अव्य}	एवम्{अव्य}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,5.1	NA	ऐसा	ऐसा
2.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,5.1#कर्म,7.3#कर्म,5.1	N1	वह	वह
3.1	राजा		राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,5.1	कर्ता,5.1#कर्म,7.3#कर्म,5.1	N1	राजा	राजा
4.1	कौरव्यः		कौरव्यः	कौरव्य{पुं;1;एक}	कौरव्य{पुं;1;एक}	विशेषणम्,3.1	कर्ता,5.1#कर्म,7.3#कर्म,5.1#विशेषणम्,3.1	N1	कौरव्य_ने	कौरव्य_ने
5.1	चक्रे		चक्रे	कृ2{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;स्वादिः}/कृ2{कर्तरि;लिट्;उ;एक;आत्मनेपदी;स्वादिः}/कृ2{कर्मणि;लिट्;प्र;एक;आत्मनेपदी;स्वादिः}/कृ2{कर्मणि;लिट्;उ;एक;आत्मनेपदी;स्वादिः}/कृ3{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;तनादिः}/कृ3{कर्तरि;लिट्;उ;एक;आत्मनेपदी;तनादिः}/कृ3{कर्मणि;लिट्;प्र;एक;आत्मनेपदी;तनादिः}/कृ3{कर्मणि;लिट्;उ;एक;आत्मनेपदी;तनादिः}/चक्र{पुं;7;एक}/चक्र{नपुं;7;एक}	कृ2{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;स्वादिः}	अभिहित_कर्ता,3.1;सकर्मक	कर्म,7.3#अधिकरणम्,7.3	KP	मार_डाला	मार_डाला
6.1	दान-		दान-महत्-उत्सवम्	दान	दान	समासः,6.2	समासः,6.2	CP	दान-	दान-
6.2	महत्-		--	महत्	महत्	समासः,6.3	समासः,6.3	CP	महत्-	महत्-
6.3	उत्सवम्		--	उत्सव{पुं;2;एक}/उत्सव{नपुं;1;एक}/उत्सव{नपुं;2;एक}	उत्सव{पुं;2;एक}	कर्म,5.1	विशेषणम्,8.4#विशेषणम्,7.4#कर्म,7.3#कर्म,5.1#कर्ता,5.1	N2	उत्सव	उत्सव
7.1	नट-		नट-नर्तक-लास्य-आढ्यम्	नट	नट	समासः,7.2	समासः,7.2	CP	नट-	नट-
7.2	नर्तक-		--	नर्तक(नृत्1;ण्वुल्;दिवादिः)	नर्तक(नृत्1;ण्वुल्;दिवादिः)	समासः,7.3	समासः,7.3	CP		
7.3	लास्य-		--	लास्य(लस्1;ण्यत्;भ्वादिः)	लास्य(लस्1;ण्यत्;भ्वादिः)	समासः,7.4	समासः,7.4	CP		
7.4	आढ्यम्		--	आढ्य{पुं;2;एक}/आढ्य{नपुं;1;एक}/आढ्य{नपुं;2;एक}	आढ्य{पुं;2;एक}	विशेषणम्,6.3	विशेषणम्,8.4#विशेषणम्,6.3#कर्म,5.1#कर्ता,5.1	N2	आढ्य	आढ्य
8.1	बहु-		बहु-अन्न-रस-दक्षिणम्	बहु	बहु	समासः,8.2	समासः,8.2	CP	बहु-	बहु-
8.2	अन्न-		--	अन्न	अन्न	समासः,8.3	समासः,8.3	CP	अन्न-	अन्न-
8.3	रस-		--	रस	रस	समासः,8.4	समासः,8.4	CP	रस-	रस-
8.4	दक्षिणम्		--	दक्षिण{पुं;2;एक}/दक्षिण{नपुं;1;एक}/दक्षिण{नपुं;2;एक}/दक्षिण{सर्वनाम;पुं;2;एक}	दक्षिण{पुं;2;एक}	विशेषणम्,6.3	विशेषणम्,7.4#विशेषणम्,6.3#कर्म,7.3#कर्म,5.1#कर्ता,5.1	N2	दक्षिण	दक्षिण
9.1	.		.	-	-	-	-	FS	-	-
