index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	सहदेवः		सहदेवः	सहदेव{पुं;1;एक}	सहदेव{पुं;1;एक}	कर्ता,4.1	कर्ता,4.1	N1	सहदेव_ने	सहदेव_ने
2.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	तो	तो
3.1	वेगेन		वेगेन	वेग{पुं;3;एक}	वेग{पुं;3;एक}	हेतुः,4.1	क्रियाविशेषणम्,13.1#क्रियाविशेषणम्,4.1#हेतुः,13.1#हेतुः,4.1	N3	वेग_से	वेग_से
4.1	प्राधावत्		प्राधावत्	प्र_धाव्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः}	प्र_धाव्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	प्र_धाव्1या	प्र_धाव्1या
5.1	येन		येन	येन{अव्य}/यद्{सर्वनाम;पुं;3;एक}/यद्{सर्वनाम;नपुं;3;एक}	यद्{सर्वनाम;पुं;3;एक}	देशाधिकरणम्,14.1	हेतुः,13.1#हेतुः,4.1#विशेषणम्,3.1#देशाधिकरणम्,14.1	N3	जिससे	जिससे
6.1	सा		सा	तद्{सर्वनाम;स्त्री;1;एक}	तद्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,7.1	विशेषणम्,7.1#कर्ता,4.1	N1	वह	वह
7.1	पृथा		पृथा	पृथा{स्त्री;1;एक}	पृथा{स्त्री;1;एक}	कर्ता,14.1	कर्ता,4.1;कर्ता,14.1	N1	पृथा	पृथा
8.1	स-		स-स्वनम्	स	स	समासः,8.2	समासः,8.2	CP	स-	स-
8.2	स्वनम्		--	स्वन{पुं;2;एक}/स्वन{नपुं;1;एक}	स्वन{नपुं;1;एक}	क्रियाविशेषणम्,9.1	कर्म,13.1;क्रियाविशेषणम्,9.1	N1	कोलाहल_को	कोलाहल_को
9.1	प्ररुदन्		प्ररुदन्	प्र_रुद्{पुं;1;एक(प्र_रुद्;शतृ_लट्;अदादिः)}	प्र_रुद्{पुं;1;एक(प्र_रुद्;शतृ_लट्;अदादिः)}	वर्तमानसमानकालः,4.1	वर्तमानसमानकालः,4.1	N1		
10.1	धीमान्		धीमान्	धीमत्{पुं;1;एक}	धीमत्{पुं;1;एक}	विशेषणम्,1.1	विशेषणम्,13.1#कर्ता,4.1#विशेषणम्,1.1	N1	बुद्धिमान्	बुद्धिमान्
11.1	मातुः		मातुः	मातृ{स्त्री;6;एक}	मातृ{स्त्री;6;एक}	षष्ठीसम्बन्धः,12.1	षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,3.1	N6	माता_के	माता_के
12.1	पादौ		पादौ	पाद{पुं;1;द्वि}/पाद{पुं;2;द्वि}/पाद{पुं;8;द्वि}	पाद{पुं;2;द्वि}	कर्म,13.1	कर्म,13.1	N2	पैर	पैर
13.1	उपस्पृशन्		उपस्पृशन्	उपस्पृशत्{पुं;1;एक(उप_स्पृश्1;शतृ_लट्;तुदादिः)}	उपस्पृशत्{पुं;1;एक(उप_स्पृश्1;शतृ_लट्;तुदादिः)}	वर्तमानसमानकालः,4.1	वर्तमानसमानकालः,4.1	N1	छूता_हुआ	छूता_हुआ
14.1	(आसीत्)		आसीत्	अस्2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः}	-	-	KP	था	था
15.1	.		.	-	-	-	-	FS	-	-
