 	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	तत्		तत्	तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;2;एक}	कर्म,11.1	विशेषणम्,4.4#विशेषणम्,3.2#विशेषणम्,2.1#कर्म,11.1	N2	उस	उस
2.1	अद्भुतम्		अद्भुतम्	अद्भुत{पुं;2;एक}/अद्भुत{नपुं;1;एक}/अद्भुत{नपुं;2;एक}	अद्भुत{नपुं;2;एक}	विशेषणम्,1.1	विशेषणम्,4.4#विशेषणम्,3.2#विशेषणम्,1.1	N2	अद्भुत	अद्भुत
3.1	अ-		अ-चिन्त्यम्	अ	अ	समासः,3.2	समासः,3.2	CP	अ-	अ-
3.2	चिन्त्यम्		--	चिन्त्य{पुं;2;एक(चित्2;यत्;चुरादिः)}/चिन्त्य{नपुं;1;एक(चित्2;यत्;चुरादिः)}/चिन्त्य{नपुं;2;एक(चित्2;यत्;चुरादिः)}	चिन्त्य{नपुं;2;एक(चित्2;यत्;चुरादिः)}	विशेषणम्,1.1	विशेषणम्,4.4#विशेषणम्,2.1#विशेषणम्,1.1	N2		
4.1	सु-		सु-महत्-रोम-हर्षणम्	सु	सु	समासः,4.2	समासः,4.2	CP	सु-	सु-
4.2	महत्-		--	महत्	महत्	समासः,4.3	समासः,4.3	CP	महत्-	महत्-
4.3	रोम-		--	रोमन्	रोमन्	समासः,4.4	समासः,4.4	CP	रोम-	रोम-
4.4	हर्षणम्		--	हर्षण{पुं;2;एक}/हर्षण{नपुं;1;एक}/हर्षण{नपुं;2;एक}	हर्षण{नपुं;2;एक}	विशेषणम्,1.1	विशेषणम्,3.2#विशेषणम्,2.1#विशेषणम्,1.1#कर्म,11.1#कर्ता,11.1	N2	हर्षण_को	हर्षण_को
5.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1#विशेषणम्,7.3#विशेषणम्,6.1#कर्ता,11.1	N1	वह	वह
6.1	सर्वः		सर्वः	सर्व{सर्वनाम;पुं;1;एक}	सर्व{सर्वनाम;पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1#विशेषणम्,7.3#विशेषणम्,5.1#कर्ता,11.1	N1	सब	सब
7.1	अ-		अ-निमिष-ईक्षणः	अ	अ	समासः,7.2	समासः,7.2	CP	अ-	अ-
7.2	निमिष-		--	निमिष	निमिष	समासः,7.3	समासः,7.3	CP	निमिष-	निमिष-
7.3	ईक्षणः		--	ईक्षण{पुं;1;एक}	ईक्षण{पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1#विशेषणम्,6.1#विशेषणम्,5.1#कर्ता,11.1	N1	देखना	देखना
8.1	विस्मितः		विस्मितः	विस्मित{पुं;1;एक}	विस्मित{पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N1		
9.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	और	और
10.1	जनः		जनः	जन{पुं;1;एक}	जन{पुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	जन_ने	जन_ने
11.1	ददर्श		ददर्श	दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः}	दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,10.1;सकर्मक	-	KP	देखा	देखा
12.1	.		.	-	-	-	-	FS	-	-
