index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	याः		याः	यद्{सर्वनाम;स्त्री;1;बहु}/यद्{सर्वनाम;स्त्री;2;बहु}	यद्{सर्वनाम;स्त्री;1;बहु}	विशेषणम्,2.4	विशेषणम्,3.2#विशेषणम्,2.4#कर्म,7.1#विशेषणम्,6.2	N1	जिन	जिन
2.1	स-		स-पद-अनु-गाः	स	स	समासः,2.2	समासः,2.2	CP	स-	स-
2.2	पद-		--	पद	पद	समासः,2.3	समासः,2.3	CP	पद-	पद-
2.3	अनु-		--	अनु	अनु	समासः,2.4	समासः,2.4	CP	अनु-	अनु-
2.4	गाः		--	गो{पुं;2;बहु}/गो{स्त्री;2;बहु}/ग{पुं;8;बहु}/ग{पुं;1;बहु}/गा{स्त्री;8;बहु}/गा{स्त्री;1;बहु}/गा{स्त्री;2;बहु}	गो{स्त्री;1;बहु}	कर्ता,10.1;कर्ता,7.1	विशेषणम्,3.2#विशेषणम्,1.1#कर्म,7.1#विशेषणम्,6.2#विशेषणम्,5.1#विशेषणम्,4.1#कर्ता,10.1#कर्ता,7.1	N1	गाय	गाय
3.1	स-		स-वाहाः	स	स	समासः,3.2	समासः,3.2	CP	स-	स-
3.2	वाहाः		--	वाह{पुं;1;बहु}/वाहा{स्त्री;1;बहु}/वाहा{स्त्री;2;बहु}/वाह{पुं;8;बहु}/वाहा{स्त्री;8;बहु}	वाहा{स्त्री;1;बहु}	विशेषणम्,2.4	विशेषणम्,6.2#विशेषणम्,2.4#विशेषणम्,1.1#कर्म,10.1#कर्म,7.1#कर्ता,10.1#विशेषणम्,5.1#विशेषणम्,4.1	N1	वाहाओं_को	वाहाओं_को
4.1	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;6;एक}/युष्मद्{सर्वनाम;4;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,2.4	प्रयोजनम्1,10.1#प्रयोजनम्1,7.1#विशेषणम्,2.4#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.2#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,2.4#विशेषणम्,5.1#कर्म,10.1#कर्म,7.1#विशेषणम्,6.2#विशेषणम्,3.2#विशेषणम्,2.4#कर्ता,10.1	N1	तुम्हारी	तुम्हारी
5.1	सर्वे		सर्वे	सर्व{सर्वनाम;पुं;1;बहु}/सर्व{सर्वनाम;नपुं;1;द्वि}/सर्व{सर्वनाम;नपुं;2;द्वि}/सर्वा{सर्वनाम;स्त्री;1;द्वि}/सर्वा{सर्वनाम;स्त्री;2;द्वि}	सर्व{सर्वनाम;पुं;1;बहु}	विशेषणम्,2.4	विशेषणम्,4.1#कर्म,10.1#कर्म,7.1#विशेषणम्,2.4#विशेषणम्,3.2#विशेषणम्,2.4#कर्ता,10.1	N1	सब	सब
6.1	विचित्र-		विचित्र-गतयः	विचित्र	विचित्र	समासः,6.2	समासः,6.2	CP	विचित्र-	विचित्र-
6.2	गतयः		--	गति{स्त्री;1;बहु}/गति{स्त्री;8;बहु}/गति{पुं;8;बहु}/गति{पुं;1;बहु}	गति{पुं;1;बहु}	कर्म,7.1	विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.2#विशेषणम्,2.4#कर्म,7.1#कर्ता,10.1#विशेषणम्,1.1	N2	गति	गति
7.1	अवाप्य		अवाप्य	अव_आप्1{अव्य;ल्यप्;स्वादिः}	अव_आप्1{अव्य;ल्यप्;स्वादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1	NA	पा_कर	पा_कर
8.1	अमरैः		अमरैः	अमर{पुं;3;बहु}	अमर{पुं;3;बहु}	सहार्थः,10.1	सहार्थः,10.1#सहार्थः,7.1#करणम्,10.1#हेतुः,10.1#हेतुः,7.1	N3	अमर_से	अमर_से
9.1	सह		सह	सह{अव्य}	सह{अव्य}	सहार्थ_द्योतकः,8.1	सहार्थ_द्योतकः,8.1#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,7.1	NA	साथ	साथ
10.1	आजग्मुः		आजग्मुः	आङ्_गम्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;भ्वादिः}	आङ्_गम्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,6.2;सकर्मक	-	KP	आये	आये
11.1	.		.	-	-	-	-	FS	-	-
