index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	यथा		यथा	यथा{अव्य}	यथा{अव्य}	क्रियाविशेषणम्,3.3;नित्य_सम्बन्धः,5.1	सम्बन्धः,8.1#नित्य_सम्बन्धः,5.1#क्रियाविशेषणम्,3.3	NA	जैसे	जैसे
2.1	दिव्य-		दिव्य-रूप-समायुक्ताः	दिव्य	दिव्य	समासः,2.2	समासः,2.2	CP	दिव्य-	दिव्य-
2.2	रूप-		--	रूप	रूप	समासः,2.3	समासः,2.3	CP	रूप-	रूप-
2.3	समायुक्ताः		--	समायुक्त{पुं;1;बहु}/समायुक्ता{स्त्री;1;बहु}/समायुक्ता{स्त्री;2;बहु}/समायुक्त{पुं;8;बहु}/समायुक्ता{स्त्री;8;बहु}	समायुक्त{पुं;1;बहु}	विशेषणम्,3.3	विशेषणम्,4.4#विशेषणम्,3.3	N1	संयुक्त	संयुक्त
3.1	दिव्य-		दिव्य-आभरण-भूषिताः	दिव्य	दिव्य	समासः,3.2	समासः,3.2	CP	दिव्य-	दिव्य-
3.2	आभरण-		--	आभरण	आभरण	समासः,3.3	समासः,3.3	CP	आभरण-	आभरण-
3.3	भूषिताः		--	भूषित{पुं;1;बहु(भूष्1;क्त;भ्वादिः)}	भूषित{पुं;1;बहु(भूष्1;क्त;भ्वादिः)}		विशेषणम्,4.4	N1	शोभित_हुआ_हुआ	शोभित_हुआ_हुआ
4.1	दिव्य-		दिव्य-माल्या-अम्बर-धराः	दिव्य	दिव्य	समासः,4.2	समासः,4.2	CP	दिव्य-	दिव्य-
4.2	माल्या-		--	-माल्या	-माल्या	समासः,4.3	समासः,4.3	CP	माल्या-	माल्या-
4.3	अम्बर-		--	अम्बर	अम्बर	समासः,4.4	समासः,4.4	CP	अम्बर-	अम्बर-
4.4	धराः		--	धरा{स्त्री;1;बहु}/धरा{स्त्री;2;बहु}/धरा{स्त्री;8;बहु}/धर{पुं;8;बहु}/धर{पुं;1;बहु}	धरा{स्त्री;1;बहु}		-	N1	धरे	धरे
5.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,8.1	क्रियाविशेषणम्,8.1	NA	और	और
6.1	आसाम्		आसाम्	इदम्{सर्वनाम;स्त्री;6;बहु}	इदम्{सर्वनाम;स्त्री;6;बहु}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1	N6	इनकी	इनकी
7.1	पतयः		पतयः	पति{पुं;1;बहु}/पति{पुं;8;बहु}	पति{पुं;1;बहु}	कर्ता,8.1	विधेय_विशेषणम्,4.4#विधेय_विशेषणम्,3.3#विधेय_विशेषणम्,2.3#कर्ता_बे_वेर्ब्स्,8.1	N1	पतियाँ	पतियाँ
8.1	सन्ति		सन्ति	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}/सत्{नपुं;8;बहु}/सत्{नपुं;1;बहु(अस्2;शतृ_लट्;अदादिः)}/सत्{नपुं;2;बहु(अस्2;शतृ_लट्;अदादिः)}	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,7.1	-	KP	हैं	हैं
9.1	.		.	-	-	-	-	FS	-	-

