index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अश्वमेधे		अश्वमेधे	अश्वमेध{पुं;7;एक}	अश्वमेध{पुं;7;एक}	अधिकरणम्,6.1	अधिकरणम्,12.1#अधिकरणम्,7.3#अधिकरणम्,6.1	N7	अश्वमेध_में	अश्वमेध_में
2.1	अश्वसंज्ञपनं		अश्वसंज्ञपनं	अश्वसंज्ञपनं{नपुं;2;एक}	अश्वसंज्ञपनं{नपुं;2;एक}	कर्म,6.1	कर्म,6.1	N2		
3.1	प्रति		प्रति	प्रति{अव्य}	प्रति{अव्य}	सम्बन्धः,2.1	सम्बन्ध_उप,12.1#सम्बन्ध_उप,7.3#सम्बन्ध_उप,6.1#सम्बन्धः,2.1	NA	ओर	ओर
4.1	इयं		इयं	इदम्{सर्वनाम;स्त्री;1;एक}	इदम्{सर्वनाम;स्त्री;1;एक}	विशेषणम्,5.1	विशेषणम्,5.1#कर्ता_बे_वेर्ब्स्,6.1	N1	यह	यह
5.1	श्रुतिः		श्रुतिः	श्रुति{स्त्री;1;एक}	श्रुति{स्त्री;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	श्रुति	श्रुति
6.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	-	-	KP	है	है
7.1	लोक-		लोक-अन्तर-गताः	लोक	लोक	समासः,7.2	समासः,7.2	CP	लोक-	लोक-
7.2	अन्तर-		--	अन्तर	अन्तर	समासः,7.3	समासः,7.3	CP	अन्तर-	अन्तर-
7.3	गताः		--	गत{पुं;1;बहु(गम्1;क्त;भ्वादिः)}/गता{स्त्री;1;बहु(गम्1;क्त;भ्वादिः)}/गता{स्त्री;2;बहु(गम्1;क्त;भ्वादिः)}/गत{पुं;8;बहु}/गता{स्त्री;8;बहु}	गत{पुं;1;बहु(गम्1;क्त;भ्वादिः)}	विशेषणम्,9.1	विशेषणम्,11.1#विशेषणम्,9.1#विशेषणम्,8.1#कर्ता_बे_वेर्ब्स्,12.1	N1	गये_हुए	गये_हुए
8.1	वाजिनः		वाजिनः	वाजिन्{पुं;1;बहु}/वाजिन्{पुं;2;बहु}/वाजिन्{पुं;5;एक}/वाजिन्{पुं;6;एक}/वाजिन्{पुं;8;बहु}	वाजिन्{पुं;6;बहु}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,5.1#हेतुः5,12.1#कर्ता_बे_वेर्ब्स्,12.1	N6	अश्व	अश्व
9.1	प्राणाः		प्राणाः	प्राण{पुं;1;बहु}/प्राण{पुं;8;बहु}	प्राण{पुं;1;बहु}	कर्ता,12.1	कर्ता,12.1	N1	प्राण	प्राण
10.1	नित्यं		नित्यं	नित्य{पुं;2;एक}/नित्य{नपुं;1;एक}/नित्य{नपुं;2;एक}	नित्य{नपुं;1;एक}	क्रियाविशेषणम्,12.1	क्रियाविशेषणम्,12.1#क्रियाविशेषणम्,7.3#क्रियाविशेषणम्,6.1	N1	नित्य_को	नित्य_को
11.1	नित्याः		नित्याः	नित्य{पुं;1;बहु}/नित्या{स्त्री;1;बहु}/नित्या{स्त्री;2;बहु}/नित्य{पुं;8;बहु}	नित्य{पुं;1;बहु}	विधेय_विशेषणम्,9.1	विधेय_विशेषणम्,9.1#विधेय_विशेषणम्,8.1#विधेय_विशेषणम्,7.3#कर्ता_बे_वेर्ब्स्,12.1	N1	नित्य	नित्य
12.1	भवन्ति		भवन्ति	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}/भवन्ती{स्त्री;8;एक}/भवत्{नपुं;1;बहु}/भवत्{नपुं;2;बहु}	भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}	-	-	KP	होते_हैं	होते_हैं
13.1	हि		हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1#सम्बन्धः,6.1	NA	हि	हि
14.1	.		.	-	-	-	-	FS	-	-
