index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	माम्		माम्	अस्मद्{सर्वनाम;2;एक}	अस्मद्{सर्वनाम;2;एक}	कर्म,6.1	कर्म,6.1	N2	मुझे	मुझे
2.1	राजा		राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	राजा	राजा
3.1	च		च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,2.1	सम्बन्धः,2.1	NA	च1	च1
4.1	यशस्विनी		यशस्विनी	यशस्विन्{नपुं;1;द्वि}/यशस्विन्{नपुं;2;द्वि}/यशस्विनी{स्त्री;1;एक}/यशस्विन्{नपुं;8;द्वि}	यशस्विनी{स्त्री;1;एक}	विशेषणम्,5.1	विशेषणम्,9.1#विशेषणम्,5.1	N1	यशस्विनी	यशस्विनी
5.1	गान्धारी		गान्धारी	गान्धारि{पुं;1;द्वि}/गान्धारि{पुं;2;द्वि}/गान्धारी{स्त्री;1;एक}/गान्धारि{पुं;8;द्वि}	गान्धारी{स्त्री;1;एक}	समुच्चितः,2.1	समुच्चितः,2.1	N1	गान्धारी	गान्धारी
6.1	विसर्जयति		विसर्जयति	सर्ज1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	सर्ज1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहितकर्ता,2.1	अभिहितकर्ता,2.1	KP		
7.1	बद्ध-		बद्ध-चित्तः	बद्ध	बद्ध	समासः,7.2	समासः,7.2	CP	बद्ध-	बद्ध-
7.2	चित्तः		--	चित्{अव्य;तसिल्}/चित्त{पुं;1;एक}	चित्त{पुं;1;एक}	विशेषणम्,9.1	विशेषणम्,9.1#विशेषणम्,8.1#अपादानम्,13.1	N1	चित्त	चित्त
8.1	दुःखितः		दुःखितः	दुःखिन्{अव्य;तसिल्}/दुःखित{पुं;1;एक}	दुःखित{पुं;1;एक}	विशेषणम्,9.1	विशेषणम्,9.1#अपादानम्,13.1	N1	दुःखी	दुःखी
9.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,13.1	कर्ता,13.1	N1	मैं	मैं
10.1	भवत्याम्		भवत्याम्	भवती{स्त्री;7;एक}/भवती{सर्वनाम;स्त्री;7;एक}	भवती{स्त्री;7;एक}	अधिकरणम्,7.1	अधिकरणम्,13.1	N7	आपमें	आपमें
11.1	तु		तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,9.1	सम्बन्धः,10.1	NA	तो	तो
12.1	कथम्		कथम्	कथम्{अव्य}	कथम्{अव्य}	आश्चर्यप्रश्नः,13.1	क्रियाविशेषणम्,13.1	NA	कैसे	कैसे
13.1	यास्यामि		यास्यामि	या1{कर्तरि;लृट्;उ;एक;परस्मैपदी;अदादिः}	या1{कर्तरि;लृट्;उ;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,9.1	-	KP	जाऊँगा	जाऊँगा
14.1	.		.	-	-	-	-	FS	-	-
