index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	उप-		उप-स्थितम्	उप	उप	समासः,1.2	समासः,1.2	CP	उप-	उप-
1.2	स्थितम्		--	स्थित{पुं;2;एक(ष्था1;क्त;भ्वादिः)}/स्थित{नपुं;1;एक(ष्था1;क्त;भ्वादिः)}/स्थित{नपुं;2;एक(ष्था1;क्त;भ्वादिः)}	स्थित{पुं;2;एक(ष्था1;क्त;भ्वादिः)}	विशेषणम्,2.1	विशेषणम्,14.1#विशेषणम्,13.1#विशेषणम्,11.1#कर्म,5.1#विशेषणम्,9.1#विशेषणम्,6.1#विशेषणम्,2.1	N2	स्थित	स्थित
2.1	भगवन्तम्		भगवन्तम्	भगवत्{पुं;2;एक}/भग{मतुप्;पुं;2;एक}	भगवत्{पुं;2;एक}	कर्म,5.1	विशेषणम्,14.1#विशेषणम्,13.1#विशेषणम्,11.1#कर्म,5.1#अन्यतरः,11.1	N2	भगवान्	भगवान्
3.1	चिरस्य		चिरस्य	चिरस्य{अव्य}/चिर{नपुं;6;एक}	चिर{नपुं;6;एक}	सम्बन्धः,5.1	विशेषणम्,8.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,2.1	N6	दीर्घ_के	दीर्घ_के
4.1	खलु		खलु	खलु{अव्य}	खलु{अव्य}	सम्बन्धः,5.1	सम्बन्धः,3.1	NA	अवश्य	अवश्य
5.1	पश्यामि		पश्यामि	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;भ्वादिः}	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;भ्वादिः}	-	-	KP	देखता_हूँ	देखता_हूँ
6.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,5.1	अन्यतरः,11.1	N1	मैं	मैं
7.1	कच्चित्		कच्चित्	कच्चित्{अव्य}	कच्चित्{अव्य}	प्रश्नद्योतकः,9.1	प्रश्नद्योतकः,9.1	NA	प्रश्नवाचकता	प्रश्नवाचकता
8.1	ते		ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;6;एक}/युष्मद्{सर्वनाम;4;एक}	युष्मद्{सर्वनाम;6;एक}	सम्बन्धः,9.1	प्रयोजनम्1,13.1#प्रयोजनम्1,9.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,2.1	N6	तुम्हारा	तुम्हारा
9.1	कुशलम्		कुशलम्	कुशल{पुं;2;एक}/कुशल{नपुं;1;एक}/कुशल{नपुं;2;एक}	कुशल{पुं;1;एक}	-	-	N2	कुशल_को	कुशल_को
10.1	विप्र		विप्र	विप्र{पुं;8;एक}	विप्र{पुं;8;एक}	सम्बोधनम्,9.1	सम्बोधनम्,9.1	N8	ब्राह्मण	ब्राह्मण
11.1	शुभम्		शुभम्	शुभ{पुं;2;एक}/शुभ{नपुं;1;एक}/शुभ{नपुं;2;एक}	शुभ{नपुं;1;एक}	-	-	N1	शुभ	शुभ
12.1	वा		वा	वा{अव्य}	वा{अव्य}	प्रश्नद्योतकः,11.1	सम्बन्धः,11.1#अन्यतर_द्योतकः,11.1	NA	वा	वा
13.1	प्रत्युपस्थितम्		प्रत्युपस्थितम्	प्रत्युपस्थित{पुं;2;एक(प्रति_उप_ष्था1;क्त;भ्वादिः)}/प्रत्युपस्थित{नपुं;1;एक(प्रति_उप_ष्था1;क्त;भ्वादिः)}/प्रत्युपस्थित{नपुं;2;एक(प्रति_उप_ष्था1;क्त;भ्वादिः)}	प्रत्युपस्थित{नपुं;1;एक(प्रति_उप_ष्था1;क्त;भ्वादिः)}	विशेषणम्,14.1	विशेषणम्,14.1	N1	प्रस्थापित_हुआ_हुआ	प्रस्थापित_हुआ_हुआ
14.1	(सर्वम्)		सर्वम्	सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक}	सर्व{सर्वनाम;नपुं;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	सब	सब
15.1	.		.	-	-	-	-	FS	-	-
