index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	f	color_code	hindi_meaning	hindi_meaning_active
										
1.1	कौरव्य		कौरव्य	कौरव्य{पुं;8;एक}	कौरव्य{पुं;8;एक}	सम्बोध्यः,6.1	-	N8		
2.1	तेषाम्		तेषाम्	तद्{सर्वनाम;पुं;6;बहु}/तद्{सर्वनाम;नपुं;6;बहु}	तद्{सर्वनाम;पुं;6;बहु}	षष्ठीसम्बन्धः,3.1	कर्म,5.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,3.2#निर्धारणम्,9.1	N6	उनका	उनका
3.1	उदक-		उदक-क्रियाम्	उदक	उदक	समासः,3.2	समासः,3.2	CP	उदक-	उदक-
3.2	क्रियाम्		--	क्रिया{स्त्री;2;एक}	क्रिया{स्त्री;2;एक}	कर्म,5.1	कर्म,6.1#कर्म,5.1	N2	क्रिया_को	क्रिया_को
4.1	त्वम्		त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,6.1	कर्ता,6.1	N1	तुम	तुम
5.1	कर्तुम्		कर्तुम्	कृ3{अव्य;तुमुन्;तनादिः}	कृ3{अव्य;तुमुन्;तनादिः}	प्रयोजनम्,6.1	तुमुन्कर्म,6.1#प्रयोजनम्1,12.1	NA	कर	कर
6.1	अर्हसि		अर्हसि	अर्ह्1{कर्तरि;लट्;म;एक;परस्मैपदी;भ्वादिः}	अर्ह्1{कर्तरि;लट्;म;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,4.1;सकर्मक	-	KP	योग्य_होते_हो	योग्य_होते_हो
7.1	अत्र		अत्र	अत्र{अव्य}	अत्र{अव्य}	कालाधिकरणम्,12.1	देशाधिकरणम्,12.1#देशाधिकरणम्,6.1#देशाधिकरणम्,5.1	NA	इस_स्थान_पर	इस_स्थान_पर
8.1	सर्वैः		सर्वैः	सर्व{सर्वनाम;पुं;3;बहु}/सर्व{सर्वनाम;नपुं;3;बहु}	सर्व{सर्वनाम;पुं;3;बहु}	विशेषणम्,9.1	सहार्थः,12.1#सहार्थः,6.1#सहार्थः,5.1#कर्ता,12.1#करणम्,5.1#हेतुः,12.1#हेतुः,6.1#हेतुः,5.1#विशेषणम्,9.1	N3	सब_से	सब_से
9.1	भ्रातृभिः		भ्रातृभिः	भ्रातृ{पुं;3;बहु}	भ्रातृ{पुं;3;बहु}	सहार्थः,12.1	सहार्थः,12.1#सहार्थः,6.1#सहार्थः,5.1#कर्ता,12.1#हेतुः,12.1#हेतुः,6.1#हेतुः,5.1	N3	भाइयों_से	भाइयों_से
10.1	सहितः		सहितः	सहित{पुं;1;एक}/सहितृ{पुं;8;एक}/सहितृ{नपुं;8;एक}	सहित{पुं;1;एक}	सहार्थ_द्योतकः,9.1	सहार्थ_द्योतकः,9.1#सहार्थ_द्योतकः,8.1#विशेषणम्,4.1#सम्बन्ध_उप,12.1#कर्ता,12.1#कर्म,12.1	N1	साथ	साथ
11.1	एतत्		एतत्	एतद्{सर्वनाम;नपुं;1;एक}/एतद्{सर्वनाम;नपुं;2;एक}	एतद्{सर्वनाम;नपुं;1;एक}	कर्म,12.1	कर्म,12.1#कर्म,6.1#कर्म,5.1#विशेषणम्,4.1#कर्ता,12.1	N1	यह	यह
12.1	विधीयताम्		विधीयताम्	वि_धी1{कर्तरि;लोट्;प्र;एक;आत्मनेपदी;दिवादिः}/वि_धी1{कर्मणि{लोट्;प्र;एक;आत्मनेपदी;दिवादिः}/वि_धे1{कर्मणि{लोट्;प्र;एक;आत्मनेपदी;भ्वादिः}	वि_धी1{कर्तरि;लोट्;प्र;एक;आत्मनेपदी;दिवादिः}	अभिहित_कर्ता,11.1;सकर्मक	-	KP	हो	हो
13.1	.		.	-	-	-	-	FS	-	-
