index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अनघ		अनघ	अनघ{पुं;8;एक}/अनघ{नपुं;8;एक}	अनघ{पुं;8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1#सम्बोध्यः,8.1	N8	विष्णु	विष्णु
2.1	मम		मम	अस्मद्{सर्वनाम;6;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,3.1	कर्म,11.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#भ्कर्ता,3.1	N6	मेरे	मेरे
3.1	जीवितस्य		जीवितस्य	जीवित{पुं;6;एक(जीव्1;क्त;भ्वादिः)}/जीवित{नपुं;6;एक(जीव्1;क्त;भ्वादिः)}	जीवित{पुं;6;एक(जीव्1;क्त;भ्वादिः)}	षष्ठीसम्बन्धः,4.1	कर्म,11.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#भावलक्षणसप्तमी_पूर्वकालः,12.1#भावलक्षणसप्तमी_पूर्वकालः,8.1	N6	जीवित_का	जीवित_का
4.1	प्रयोजनम्		प्रयोजनम्	प्रयोजन{नपुं;1;एक}/प्रयोजन{नपुं;2;एक}	प्रयोजन{नपुं;1;एक}	कर्म,5.1	कर्म,4.1	N1	प्रयोजन	प्रयोजन
5.1	निर्वृत्तम्		निर्वृत्तम्	निर्वृत्त{पुं;2;एक}/निर्वृत्त{नपुं;1;एक}/निर्वृत्त{नपुं;2;एक}	निर्वृत्त{पुं;1;एक}	-	कर्म,12.1#विशेषणम्,10.1	N1	सम्पन्न_को	सम्पन्न_को
6.1	उग्रम्		उग्रम्	उग्र{पुं;2;एक}/उग्र{नपुं;1;एक}/उग्र{नपुं;2;एक}	उग्र{नपुं;2;एक}	विशेषणम्,7.1	विशेषणम्,7.1#कर्म,12.1#विशेषणम्,10.1	N2	क्रूर	क्रूर
7.1	तपः		तपः	तप{पुं;1;एक}/तपस्{नपुं;1;एक}/तपस्{नपुं;2;एक}/तपस्{नपुं;8;एक}	तपस्{नपुं;2;एक}	कर्म,8.1	कर्म,8.1#विशेषणम्,10.1	N2	गर्मी	गर्मी
8.1	समास्थास्ये		समास्थास्ये	सम्_आङ्_ष्था1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;भ्वादिः}/सम्_आङ्_ष्था1{कर्मणि{लृङ्;उ;एक;आत्मनेपदी;भ्वादिः}	सम्_आङ्_ष्था1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;भ्वादिः}	-	-	KP	सहूँगा	सहूँगा
9.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,7.1	सम्बन्धः,8.1	NA	च1	च1
10.1	त्वम्		त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,12.1;कर्ता,11.1	कर्ता,12.1	N1	तुम	तुम
11.1	अनुज्ञातुम्		अनुज्ञातुम्	अनु_ज्ञा1{अव्य;तुमुन्;क्र्यादिः}	अनु_ज्ञा1{अव्य;तुमुन्;क्र्यादिः}	तुमुन्कर्म,12.1	तुमुन्कर्म,12.1	NA	अनु_ज्ञा1	अनु_ज्ञा1
12.1	अर्हसि		अर्हसि	अर्ह्1{कर्तरि;लट्;म;एक;परस्मैपदी;भ्वादिः}	अर्ह्1{कर्तरि;लट्;म;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,10.1;सकर्मक	-	KP	योग्य_होते_हो	योग्य_होते_हो
13.1	.		.	-	-	-	-	FS	-	-
