index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अविषह्यम्		अविषह्यम्	अविसह्य{पुं;1;एक}	-	विशेषणम्,8.1	विशेषणम्,8.1	N1		
2.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	समुच्चय_द्योतकः,5.1	NA	और	और
3.1	राजा		राजा	राजन्{पुं;1;एक}	राजन्{पुं;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	राजा	राजा
4.1	हि		हि	हि{अव्य}	हि{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	हि	हि
5.1	तीव्रम्		तीव्रम्	तीव्र{पुं;2;एक}/तीव्र{नपुं;1;एक}/तीव्र{नपुं;2;एक}	तीव्र{नपुं;1;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N1	तेज	तेज
6.1	च		च	च{अव्य}	च{अव्य}	सम्बन्ध,3.1	सम्बन्ध,3.1	NA	च2	च2
7.1	आरप्स्यते		आरप्स्यते	रभ्{कर्तरि;लृट्;प्र;एक;आत्मनेपदी;भ्वादिः} 	रभ्{कर्तरि;लृट्;प्र;एक;आत्मनेपदी;भ्वादिः}	-	-	KP		
8.1	तपः		तपः	तप{पुं;1;एक}/तपस्{नपुं;1;एक}/तपस्{नपुं;2;एक}/तपस्{नपुं;8;एक}	तप{पुं;1;एक}	कर्म,7.1	कर्म,7.1	N2	गर्मी	गर्मी
9.1	(धृतराष्ट्रः)		धृतराष्ट्रः	धृतराष्ट्र{पुं;1;एक}	धृतराष्ट्र{पुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N1		
10.1	.		.	-	-	-	-	FS	-	-
