index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	गान्धार्या		गान्धार्या	गान्धारी{स्त्री;3;एक}	गान्धारी{स्त्री;3;एक}	कर्ता,2.1	कर्ता,7.1#कर्ता,3.1#करणम्,19.1#करणम्,3.1#हेतुः,19.1#हेतुः,3.1	N3	गान्धारी_से	गान्धारी_से
2.1	अभ्यनुज्ञाताः		अभ्यनुज्ञाताः	अभ्यनुज्ञा{तल्;पुं;1;बहु}/अभ्यनुज्ञा{तल्;स्त्री;2;बहु}	अभ्यनुज्ञा{तल्;पुं;1;बहु}	विशेषणम्,11.1	विशेषणम्,15.1#विशेषणम्,3.3#सुप्_समुच्चितः,3.3#कर्म,3.1	N1	अभ्यनुज्ञायें	अभ्यनुज्ञायें
3.1	कृत-		कृत-पाद-अभिवन्दनाः	कृत(कृ2;क्त;स्वादिः)}/कृत(कृ3{क्त;तनादिः)	कृत(कृ2;क्त;स्वादिः)	समासः,3.2	समासः,3.2	CP		
3.2	पाद-		--	पाद	पाद	समासः,3.3	समासः,3.3	CP	पाद-	पाद-
3.3	अभिवन्दनाः		--	अभिवन्दन{पुं;8;बहु}/अभिवन्दन{पुं;1;बहु}/अभिवन्दना{स्त्री;8;बहु}/अभिवन्दना{स्त्री;1;बहु}/अभिवन्दना{स्त्री;2;बहु}	अभिवन्दन{पुं;1;बहु}	विशेषणम्,11.1	विशेषणम्,15.1#विशेषणम्,7.1#विशेषणम्,11.1#विशेषणम्,10.1#विशेषणम्,9.1	N1	अभिवन्दन	अभिवन्दन
4.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,5.1	सुप्_समुच्चय_द्योतकः,3.3#सम्बन्धः,3.3	NA	और	और
5.1	जनन्या		जनन्या	जननि{स्त्री;3;एक}/जननी{स्त्री;3;एक}	जननि{स्त्री;3;एक}	कर्ता,6.1	कर्ता,7.1#हेतुः,19.1#करणम्,19.1	N3	माँ_से	माँ_से
6.1	समुपाघ्राताः		समुपाघ्राताः	समुपाघ्रात{पुं;1;बहु(सम्_उप_आङ्_घ्रा1;क्त;भ्वादिः)}	समुपाघ्रात{पुं;1;बहु(सम्_उप_आङ्_घ्रा1;क्त;भ्वादिः)}	विशेषणम्,11.1	-	N1		
7.1	परिष्वक्ताः		परिष्वक्ताः	परिष्वक्त{पुं;1;बहु(परि_ष्वन्ज्1;क्त;भ्वादिः)}/परिष्वक्ता{स्त्री;8;बहु(परि_ष्वन्ज्1;क्त;भ्वादिः)}	परिष्वक्त{पुं;1;बहु(परि_ष्वन्ज्1;क्त;भ्वादिः)}	विशेषणम्,11.1	विशेषणम्,15.1#विशेषणम्,11.1	N1	आलिंगनबद्ध	आलिंगनबद्ध
