index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अस्माकम्		अस्माकम्	अस्मद्{सर्वनाम;6;बहु}	अस्मद्{सर्वनाम;6;बहु}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,3.1	N6	हमारे	हमारे
2.1	इदम्		इदम्	इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक}	इदम्{सर्वनाम;नपुं;2;एक}	समुच्चितः,9.1	विशेषणम्,6.1#विशेषणम्,3.1#सुप्_समुच्चितः,9.1	N2	इसको	इसको
3.1	राज्यम्		राज्यम्	राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक}	राज्य{नपुं;2;एक}	समुच्चितः,9.1	सुप्_समुच्चितः,9.1	N2	राज्य_को	राज्य_को
4.1	धिक्		धिक्	धिक्{अव्य}	धिक्{अव्य}	वीप्सा,5.1	वीप्सा,5.1#उद्गारवाचकः,3.1#उद्गारवाचकः,2.1	NA	धिक्कार	धिक्कार
5.1	धिक्		धिक्	धिक्{अव्य}	धिक्{अव्य}	उद्गारवाचकः,3.1	उद्गारवाचकः,6.1#उद्गारवाचकः,3.1	NA	धिक्कार	धिक्कार
6.1	बलम्		बलम्	बल{नपुं;1;एक}/बल{नपुं;2;एक}	बल{नपुं;2;एक}	समुच्चितः,9.1	सुप्_समुच्चितः,9.1	N2	बल_को	बल_को
7.1	धिक्		धिक्	धिक्{अव्य}	धिक्{अव्य}	उद्गारवाचकः,6.1	उद्गारवाचकः,8.1#उद्गारवाचकः,6.1	NA	धिक्कार	धिक्कार
8.1	पराक्रमम्		पराक्रमम्	पराक्रम{पुं;2;एक}	पराक्रम{पुं;2;एक}	समुच्चितः,9.1	सुप्_समुच्चितः,9.1	N2	पराक्रम_को	पराक्रम_को
9.1	क्षत्रधर्मम्		क्षत्रधर्मम्	क्षत्रधर्म{पुं;2;एक}	क्षत्रधर्म{पुं;2;एक}		-	N2	क्षत्रधर्म_को	क्षत्रधर्म_को
10.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,9.1	सुप्_समुच्चय_द्योतकः,9.1#सम्बन्धः,9.1	NA	और	और
11.1	धिक्		धिक्	धिक्{अव्य}	धिक्{अव्य}	उद्गारवाचकः,9.1	उद्गारवाचकः,9.1	NA	धिक्कार	धिक्कार
12.1	यस्मात्		यस्मात्	यद्{सर्वनाम;पुं;5;एक}/यद्{सर्वनाम;नपुं;5;एक}	यद्{सर्वनाम;पुं;5;एक}	-	-	N5	जिससे	जिससे
13.1	वयम्		वयम्	अस्मद्{सर्वनाम;1;बहु}	अस्मद्{सर्वनाम;1;बहु}	-	-	N1	हम	हम
14.1	जीवामहे		--	-	-	-	-	FS	-	-
15.1	.		--	-	-	-	-	FS	-	-
