index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	मे		मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,3.1	प्रयोजनम्1,13.1#प्रयोजनम्1,7.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.2#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,3.1	N6	मेरे	मेरे
2.1	सर्वे		सर्वे	सर्व{सर्वनाम;पुं;1;बहु}/सर्व{सर्वनाम;नपुं;1;द्वि}/सर्व{सर्वनाम;नपुं;2;द्वि}/सर्वा{सर्वनाम;स्त्री;1;द्वि}/सर्वा{सर्वनाम;स्त्री;2;द्वि}	सर्व{सर्वनाम;पुं;1;बहु}	विशेषणम्,3.1	विशेषणम्,12.1#विशेषणम्,11.2#सुप्_समुच्चितः,9.1#सुप्_समुच्चितः,3.1#कर्म,7.1#विशेषणम्,5.2#विशेषणम्,3.1#कर्ता,7.1	N1	सब	सब
3.1	भ्रातरः		भ्रातरः	भ्रातृ{पुं;1;बहु}/भ्रातृ{पुं;2;बहु}/भ्रातृ{पुं;8;बहु}	भ्रातृ{पुं;1;बहु}	कर्ता,7.1	कर्म,7.1#कर्ता,7.1	N1	भाई	भाई
4.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,3.1	सुप्_समुच्चय_द्योतकः,3.1#क्रियाविशेषणम्,13.1#क्रियाविशेषणम्,7.1	NA	और	और
5.1	अनु-		अनु-चराः	अनु	अनु	समासः,5.2	समासः,5.2	CP	अनु-	अनु-
5.2	चराः		--	चर{पुं;1;बहु}/चरा{स्त्री;1;बहु}/चरा{स्त्री;2;बहु}/चर{पुं;8;बहु}/चरा{स्त्री;8;बहु}	चर{पुं;1;बहु}	समुच्चितः,3.1	सुप्_समुच्चितः,9.1#सुप्_समुच्चितः,3.1#कर्म,7.1#कर्ता,7.1	N1	चर	चर
6.1	कामम्		कामम्	कामम्{अव्य}/काम{पुं;2;एक}	कामम्{अव्य}	क्रियाविशेषणम्,7.1	सुप्_समुच्चितः,9.1#सुप्_समुच्चितः,3.1#कर्म,7.1	NA	काम	काम
7.1	गच्छन्तु		गच्छन्तु	गम्1{कर्तरि;लोट्;प्र;बहु;परस्मैपदी;भ्वादिः}	गम्1{कर्तरि;लोट्;प्र;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,3.1;सकर्मक	-	KP	जायें	जायें
8.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,13.1	सुप्_समुच्चितः,3.1#कर्म,13.1	N1	मैं	मैं
9.1	भवन्तम्		भवन्तम्	भवत्{सर्वनाम;पुं;2;एक}/भवन्त{पुं;2;एक}/भवत्{पुं;2;एक}	भवत्{सर्वनाम;पुं;2;एक}	कर्म,13.1	सुप्_समुच्चितः,3.1	N2	आपको	आपको
10.1	च		च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,9.1	सुप्_समुच्चय_द्योतकः,9.1#सम्बन्धः,9.1	NA	च1	च1
11.1	यत-		यत-व्रते	यत	यत	समासः,11.2	समासः,11.2	CP	यत-	यत-
11.2	व्रते		--	व्रत{नपुं;1;द्वि}/व्रत{नपुं;2;द्वि}/व्रत{नपुं;8;द्वि}/व्रत{पुं;7;एक}/व्रत{नपुं;7;एक}/व्रता{स्त्री;8;एक}/व्रता{स्त्री;8;द्वि}/व्रता{स्त्री;1;द्वि}/व्रता{स्त्री;2;द्वि}	व्रता{स्त्री;2;द्वि}	विशेषणम्,12.1	विशेषणम्,12.1#सुप्_समुच्चितः,3.1#अधिकरणम्,13.1	N2	व्रत	व्रत
12.1	मातरौ		मातरौ	मातृ{स्त्री;1;द्वि}/मातृ{स्त्री;2;द्वि}/मातृ{स्त्री;8;द्वि}	मातृ{स्त्री;2;द्वि}	समुच्चितः,9.1	सुप्_समुच्चितः,3.1	N2	मातायें	मातायें
13.1	अन्विष्ये		अन्विष्ये	अनु_इष्2{कर्मणि;लट्;उ;एक;आत्मनेपदी;तुदादिः}	अनु_इष्2{कर्मणि;लट्;उ;एक;आत्मनेपदी;तुदादिः}	-	-	KP	ढूढा_जाता_है	ढूढा_जाता_है
14.1	.		.	-	-	-	-	FS	-	-
