index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	यं		यं	यद्{सर्वनाम;पुं;2;एक}	यद्{सर्वनाम;पुं;2;एक}	विशेषणम्,2.1	विशेषणम्,16.1#विशेषणम्,13.1#विशेषणम्,8.2#विशेषणम्,2.2#कर्म,6.1#कर्म,3.1	N2	जिसको	जिसको
2.1	(वृष्णि-		वृष्णि-कुलं	वृष्णि	वृष्णि	समासः,2.2	समासः,2.2	CP	वृष्णि-	वृष्णि-
2.2	कुलं)		--	कुल{नपुं;1;एक}/कुल{नपुं;2;एक}/कुल{पुं;2;एक}	कुल{नपुं;2;एक}	कर्म,3.1	विशेषणम्,16.1#विशेषणम्,13.1#विशेषणम्,8.2#कर्म,6.1#कर्म,3.1	N2	कुल	कुल
3.1	दृष्ट्वा		दृष्ट्वा	दृश्1{अव्य;क्त्वा;भ्वादिः}	दृश्1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,6.1	पूर्वकालः,10.1#पूर्वकालः,6.1	NA	देख_कर	देख_कर
4.1	धर्मार्थं		धर्मार्थं	धर्म{अव्य;अर्थम्}	धर्म{अव्य;अर्थम्}	प्रयोजनं,5.1	-	NA	धर्म_अर्थम्	धर्म_अर्थम्
5.1	स्थातुं		स्थातुं	ष्था1{अव्य;तुमुन्;भ्वादिः}	ष्था1{अव्य;तुमुन्;भ्वादिः}	प्रयोजनम्,6.1	तुमुन्कर्म,10.1#इष्कर्म,6.1	NA	रहने~के_लिये	रहने~के_लिये
6.1	इच्छामि		इच्छामि	इष्2{कर्तरि;लट्;उ;एक;परस्मैपदी;तुदादिः}	इष्2{कर्तरि;लट्;उ;एक;परस्मैपदी;तुदादिः}	-	-	KP	इच्छा_करता_हूँ	इच्छा_करता_हूँ
7.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,8.2	प्रतिषेधः,14.1#प्रतिषेधः,10.1	NA	नहीं	नहीं
8.1	अन्य-		अन्य-हेतुकम्	अन्य	अन्य	समासः,8.2	समासः,8.2	CP	अन्य-	अन्य-
8.2	हेतुकम्		--	हेतुक{पुं;2;एक}/हेतुक{नपुं;1;एक}/हेतुक{नपुं;2;एक}	हेतुक{नपुं;1;एक}	क्रियाविशेषणम्,6.1	विशेषणम्,16.1#विशेषणम्,13.1#कर्म,10.1#कर्ता_बे_वेर्ब्स्,14.1	N1	कारण_को	कारण_को
9.1	शिवेन		शिवेन	शिव{पुं;3;एक}	शिव{पुं;3;एक}	करणम्,10.1	करणम्,10.1#हेतुः,14.1#हेतुः,10.1	N3	शिव_से	शिव_से
10.1	पश्य		पश्य	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः}	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः}	-	-	KP	देखो	देखो
11.1	नः		नः	अस्मद्{सर्वनाम;2;बहु}/अस्मद्{सर्वनाम;6;बहु}/अस्मद्{सर्वनाम;4;बहु}/नृ{पुं;8;एक}	अस्मद्{सर्वनाम;2;बहु}	विशेषणम्,12.1	प्रयोजनम्1,14.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.2	N2	हमें	हमें
12.1	सर्वान्		सर्वान्	सर्व{सर्वनाम;पुं;2;बहु}	सर्व{सर्वनाम;पुं;2;बहु}	कर्म,10.1	-	N2	सब_को	सब_को
13.1	दुर्लभम्		दुर्लभम्	दुर्लभ{पुं;2;एक}/दुर्लभ{नपुं;1;एक}/दुर्लभ{नपुं;2;एक}	दुर्लभ{नपुं;1;एक}	विधेयविशेषणम्,16.1	विशेषणम्,16.1#विधेय_विशेषणम्,8.2#कर्ता_बे_वेर्ब्स्,14.1	N1	दुर्लभ_को	दुर्लभ_को
14.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	-	-	KP	है	है
15.1	तव		तव	युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,16.1	षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.2	N6	तुम्हारा	तुम्हारा
16.1	दर्शनम्		दर्शनम्	दर्शन{पुं;2;एक}/दर्शन{नपुं;1;एक}/दर्शन{नपुं;2;एक}	दर्शन{नपुं;1;एक}	कर्ता,14.1	-	N1	दर्शन_को	दर्शन_को
17.1	.		.	-	-	-	-	FS	-	-
