index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	ऋद्ध-		ऋद्ध-अभिजन-वृद्धानां	ऋद्ध(ऋध्1;क्त;दिवादिः)}/ऋद्ध(ऋध्2{क्त;स्वादिः)	ऋद्ध(ऋध्1;क्त;दिवादिः)	समासः,1.2	समासः,1.2	CP		
1.2	अभिजन-		--	अभिजन(अभि_जन्2;घञ्;दिवादिः)	अभिजन(अभि_जन्2;घञ्;दिवादिः)	समासः,1.3	समासः,1.3	CP		
1.3	वृद्धानां		--	वृद्ध{पुं;6;बहु}/वृद्धा{स्त्री;6;बहु}/वृद्ध{नपुं;6;बहु}	वृद्ध{पुं;6;बहु}	विशेषणम्,5.1	विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,2.3#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,2.3#भ्कर्ता,5.1#विशेषणम्,3.2	N6	वृद्ध	वृद्ध
2.1	वेद-		वेद-वेदाङ्ग-वेदिनाम्	वेद	वेद	समासः,2.2	समासः,2.2	CP	वेद-	वेद-
2.2	वेदाङ्ग-		--	वेदाङ्ग	वेदाङ्ग	समासः,2.3	समासः,2.3	CP	वेदाङ्ग-	वेदाङ्ग-
2.3	वेदिनाम्		--	वेदिन्{पुं;6;बहु}/वेदिन्{नपुं;6;बहु}	वेदिन्{पुं;6;बहु}	विशेषणम्,5.1	विशेषणम्,5.1#विशेषणम्,4.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,1.3#भ्कर्ता,5.1	N6	ज्ञाताओं_के	ज्ञाताओं_के
3.1	धर्म-		धर्म-ज्ञानां	धर्म	धर्म	समासः,3.2	समासः,3.2	CP	धर्म-	धर्म-
3.2	ज्ञानां		--	ज्ञ{पुं;6;बहु}	ज्ञ{पुं;6;बहु}	विशेषणम्,5.1	मुख्यकर्म,5.1#कर्म,8.1#गौणकर्म,5.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,2.3#षष्ठीसम्बन्धः,1.3#भ्कर्ता,5.1	N6	ज्ञाने_को	ज्ञाने_को
4.1	पुराणानां		पुराणानां	पुराण{नपुं;6;बहु}	पुराण{नपुं;6;बहु}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,2.3#षष्ठीसम्बन्धः,1.3#भ्कर्ता,5.1	N6	प्राचीन_का	प्राचीन_का
5.1	वदतां		वदतां	वद्1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भ्वादिः}/वदत्{पुं;6;बहु(वद्1;शतृ_लट्;भ्वादिः)}/वदत्{नपुं;6;बहु(वद्1;शतृ_लट्;भ्वादिः)}	वदत्{पुं;6;बहु(वद्1;शतृ_लट्;भ्वादिः)}	षष्ठीसम्बन्धः,7.1	विशेषणम्,4.1#विशेषणम्,2.3#विशेषणम्,1.3#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,2.3#षष्ठीसम्बन्धः,1.3#भावलक्षणसप्तमी_समानकालः,8.1	N6	बोलते_हुए	बोलते_हुए
6.1	विविधाः		विविधाः	विविध{पुं;1;बहु}/विविधा{स्त्री;1;बहु}/विविधा{स्त्री;2;बहु}/विविध{पुं;8;बहु}	विविध{पुं;1;बहु}	विशेषणम्,7.1	कर्म,8.1#विशेषणम्,7.1	N2	विविध	विविध
7.1	कथाः		कथाः	कथा{स्त्री;1;बहु}/कथा{स्त्री;2;बहु}/कथा{स्त्री;8;बहु}	कथा{स्त्री;2;बहु}	कर्म,8.1	कर्म,8.1	N2	कथायें	कथायें
8.1	शृणु		शृणु	श्रु1{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः}	श्रु1{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः}		-	KP	सुनो	सुनो
9.1	.		.	-	-	-	-	FS	-	-
